date	HL_CI4_I_sol	HL_CI4_I_rad	HL_CE2_I_sol	HL_CE2_I_rad	HL_CJ1_I_sol	HL_CJ1_I_rad	HL_CL1_I_sol	HL_CL1_I_rad	HL_CI3_I_sol	HL_CI3_I_rad
2025-01-01 00:00:00	841.8311034000001	841.8311034	594.5215263000001	594.5215263	630.2376954	630.2376954	497.7635804	497.7635804	924.33772985	924.33772985
2025-01-01 00:15:00	841.8311034000001	841.8311034	594.5215263000001	594.5215263	630.2376954	630.2376954	497.7635804	497.7635804	924.33772985	924.33772985
2025-01-01 00:30:00	841.8311034000001	841.8311034	594.5215263000001	594.5215263	630.2376954	630.2376954	497.7635804	497.7635804	924.33772985	924.33772985
2025-01-01 00:45:00	841.8311034000001	841.8311034	594.5215263000001	594.5215263	630.2376954	630.2376954	497.7635804	497.7635804	924.33772985	924.33772985
2025-01-01 01:00:00	901.8604644000001	901.8604644	636.9157158	636.9157158	675.1787364	675.1787364	533.2581464	533.2581464	990.2504801	990.2504801
2025-01-01 01:15:00	901.8604644000001	901.8604644	636.9157158	636.9157158	675.1787364	675.1787364	533.2581464	533.2581464	990.2504801	990.2504801
2025-01-01 01:30:00	901.8604644000001	901.8604644	636.9157158	636.9157158	675.1787364	675.1787364	533.2581464	533.2581464	990.2504801	990.2504801
2025-01-01 01:45:00	901.8604644000001	901.8604644	636.9157158	636.9157158	675.1787364	675.1787364	533.2581464	533.2581464	990.2504801	990.2504801
2025-01-01 02:00:00	654.3845826	654.3845826	462.14225070000003	462.1422507	489.9056706	489.9056706	386.92893560000005	386.9289356	718.51985165	718.51985165
2025-01-01 02:15:00	654.3845826	654.3845826	462.14225070000003	462.1422507	489.9056706	489.9056706	386.92893560000005	386.9289356	718.51985165	718.51985165
2025-01-01 02:30:00	654.3845826	654.3845826	462.14225070000003	462.1422507	489.9056706	489.9056706	386.92893560000005	386.9289356	718.51985165	718.51985165
2025-01-01 02:45:00	654.3845826	654.3845826	462.14225070000003	462.1422507	489.9056706	489.9056706	386.92893560000005	386.9289356	718.51985165	718.51985165
2025-01-01 03:00:00	846.0912516000001	846.0912516	597.5301462000001	597.5301462	633.4270596	633.4270596	500.28254960000004	500.2825496	929.0154089	929.0154089
2025-01-01 03:15:00	846.0912516000001	846.0912516	597.5301462000001	597.5301462	633.4270596	633.4270596	500.28254960000004	500.2825496	929.0154089	929.0154089
2025-01-01 03:30:00	846.0912516000001	846.0912516	597.5301462000001	597.5301462	633.4270596	633.4270596	500.28254960000004	500.2825496	929.0154089	929.0154089
2025-01-01 03:45:00	846.0912516000001	846.0912516	597.5301462000001	597.5301462	633.4270596	633.4270596	500.28254960000004	500.2825496	929.0154089	929.0154089
2025-01-01 04:00:00	839.3782908000001	839.3782908	592.7892906000001	592.7892906	628.4013948	628.4013948	496.3132648	496.3132648	921.6445206999999	921.6445207
2025-01-01 04:15:00	839.3782908000001	839.3782908	592.7892906000001	592.7892906	628.4013948	628.4013948	496.3132648	496.3132648	921.6445206999999	921.6445207
2025-01-01 04:30:00	839.3782908000001	839.3782908	592.7892906000001	592.7892906	628.4013948	628.4013948	496.3132648	496.3132648	921.6445206999999	921.6445207
2025-01-01 04:45:00	839.3782908000001	839.3782908	592.7892906000001	592.7892906	628.4013948	628.4013948	496.3132648	496.3132648	921.6445206999999	921.6445207
2025-01-01 05:00:00	604.9410444	604.9410444	427.22402580000005	427.2240258	452.8897164	452.8897164	357.6936264	357.6936264	664.2304250999999	664.2304251
2025-01-01 05:15:00	604.9410444	604.9410444	427.22402580000005	427.2240258	452.8897164	452.8897164	357.6936264	357.6936264	664.2304250999999	664.2304251
2025-01-01 05:30:00	604.9410444	604.9410444	427.22402580000005	427.2240258	452.8897164	452.8897164	357.6936264	357.6936264	664.2304250999999	664.2304251
2025-01-01 05:45:00	604.9410444	604.9410444	427.22402580000005	427.2240258	452.8897164	452.8897164	357.6936264	357.6936264	664.2304250999999	664.2304251
2025-01-01 06:00:00	894.7602174000001	894.7602174	631.9013493000001	631.9013493	669.8631294	669.8631294	529.0598644	529.0598644	982.45434835	982.45434835
2025-01-01 06:15:00	894.7602174000001	894.7602174	631.9013493000001	631.9013493	669.8631294	669.8631294	529.0598644	529.0598644	982.45434835	982.45434835
2025-01-01 06:30:00	894.7602174000001	894.7602174	631.9013493000001	631.9013493	669.8631294	669.8631294	529.0598644	529.0598644	982.45434835	982.45434835
2025-01-01 06:45:00	894.7602174000001	894.7602174	631.9013493000001	631.9013493	669.8631294	669.8631294	529.0598644	529.0598644	982.45434835	982.45434835
2025-01-01 07:00:00	826.8560370000001	826.856037	583.9457715000001	583.9457715	619.026597	619.026597	488.90902200000005	488.909022	907.89497925	907.89497925
2025-01-01 07:15:00	826.8560370000001	826.856037	583.9457715000001	583.9457715	619.026597	619.026597	488.90902200000005	488.909022	907.89497925	907.89497925
