date	HL_CI4	HL_CI4	HL_CI4
2018-01-01 00:00:00	0	0	0
2018-01-01 00:10:00	0	0	0
2018-01-01 00:20:00	0	0	0
2018-01-01 00:30:00	0	0	0
2018-01-01 00:40:00	0	0	0
2018-01-01 00:50:00	0	0	0
2018-01-01 01:00:00	0	0	0
2018-01-01 01:10:00	0	0	0
2018-01-01 01:20:00	0	0	0
2018-01-01 01:30:00	0	0	0
2018-01-01 01:40:00	0	0	0
2018-01-01 01:50:00	0	0	0
2018-01-01 02:00:00	0	0	0
2018-01-01 02:10:00	0	0	0
2018-01-01 02:20:00	0	0	0
2018-01-01 02:30:00	0	0	0
2018-01-01 02:40:00	0	0	0
2018-01-01 02:50:00	0	0	0
2018-01-01 03:00:00	0	0	0
2018-01-01 03:10:00	0	0	0
2018-01-01 03:20:00	0	0	0
2018-01-01 03:30:00	0	0	0
2018-01-01 03:40:00	0	0	0
2018-01-01 03:50:00	0	0	0
2018-01-01 04:00:00	0	0	0
2018-01-01 04:10:00	0	0	0
2018-01-01 04:20:00	0	0	0
2018-01-01 04:30:00	0	0	0
2018-01-01 04:40:00	0	0	0
2018-01-01 04:50:00	0	0	0
2018-01-01 05:00:00	0	0	0
2018-01-01 05:10:00	0	0	0
2018-01-01 05:20:00	0	0	0
2018-01-01 05:30:00	0	0	0
2018-01-01 05:40:00	0	0	0
2018-01-01 05:50:00	0	0	0
2018-01-01 06:00:00	0	0	0
2018-01-01 06:10:00	0	0	0
2018-01-01 06:20:00	0	0	0
2018-01-01 06:30:00	0	0	0
2018-01-01 06:40:00	0	0	0
2018-01-01 06:50:00	0	0	0
2018-01-01 07:00:00	0	0	0
2018-01-01 07:10:00	0	0	0
2018-01-01 07:20:00	0	0	0
2018-01-01 07:30:00	0	0	0
2018-01-01 07:40:00	0	0	0
2018-01-01 07:50:00	0	0	0
2018-01-01 08:00:00	0	0	0
2018-01-01 08:10:00	0	0	0
2018-01-01 08:20:00	0	0	0
2018-01-01 08:30:00	0	0	0
2018-01-01 08:40:00	0	0	0
2018-01-01 08:50:00	0	0	0
2018-01-01 09:00:00	0	0	0
2018-01-01 09:10:00	0	0	0
2018-01-01 09:20:00	0	0	0
2018-01-01 09:30:00	0	0	0
2018-01-01 09:40:00	0	0	0
2018-01-01 09:50:00	0	0	0
2018-01-01 10:00:00	0	0	0
2018-01-01 10:10:00	0	0	0
2018-01-01 10:20:00	0	0	0
2018-01-01 10:30:00	0	0	0
2018-01-01 10:40:00	0	0	0
2018-01-01 10:50:00	0	0	0
2018-01-01 11:00:00	0	0	0
2018-01-01 11:10:00	0	0	0
2018-01-01 11:20:00	0	0	0
2018-01-01 11:30:00	0	0	0
2018-01-01 11:40:00	0	0	0
2018-01-01 11:50:00	0	0	-50.0
2018-01-01 12:00:00	0	45.93667299875796	46.79193020412572
2018-01-01 12:10:00	0	45.61411777535249	46.38306575658093
2018-01-01 12:20:00	0	45.36288431494958	46.12068328217774
2018-01-01 12:30:00	0	45.11441705121158	45.86100952564507
2018-01-01 12:40:00	0	44.868785701748045	45.6042347366012
2018-01-01 12:50:00	0	44.62595371395763	45.35033444532695
2018-01-01 13:00:00	0	44.41209285949502	45.10604643639057
2018-01-01 13:10:00	0	44.152192898635576	44.860466486770676
2018-01-01 13:20:00	0	43.89179057946969	44.614444451824866
2018-01-01 13:30:00	0	43.63095788335455	44.36798400067828
2018-01-01 13:40:00	0	43.36972016514137	44.12109190760624
2018-01-01 13:50:00	0	43.1080989739088	43.873776974365235
2018-01-01 14:00:00	0	42.89997178722929	43.65421369717736
2018-01-01 14:10:00	0	42.66618376765577	43.41736899894128
2018-01-01 14:20:00	0	42.433763855226246	43.18195026508442
2018-01-01 14:30:00	0	42.20269572240827	42.947918705671675
2018-01-01 14:40:00	0	41.972969305862144	42.71526326455888
2018-01-01 14:50:00	0	41.74457448995627	42.48397302032489
2018-01-01 15:00:00	0	41.51855000826859	42.26476231256445
2018-01-01 15:10:00	0	41.289271292368625	42.0287404456184
2018-01-01 15:20:00	0	41.062003148932575	41.79478338736781
2018-01-01 15:30:00	0	40.836697293147495	41.56284532073857
2018-01-01 15:40:00	0	40.61333445445749	41.332908612390106
2018-01-01 15:50:00	0	40.391896006903565	41.10495551952408
2018-01-01 16:00:00	0	40.15779044090091	40.886727486804546
2018-01-01 16:10:00	0	39.95281653453576	40.6538087240874
2018-01-01 16:20:00	0	39.752290127980714	40.42546705797703
2018-01-01 16:30:00	0	39.556149119842544	40.201635187766556
2018-01-01 16:40:00	0	39.36435655446	39.98227503215203
2018-01-01 16:50:00	0	39.17687657381268	39.76734893880939
2018-01-01 17:00:00	0	38.957599107817906	39.5537397872403
2018-01-01 17:10:00	0	38.739718517638615	39.32558833622197
2018-01-01 17:20:00	0	38.524414489090525	39.10008072556312
2018-01-01 17:30:00	0	38.31164427371707	38.877170502625745
2018-01-01 17:40:00	0	38.10138755983243	38.6568370767086
2018-01-01 17:50:00	0	37.893624766320166	38.439060051743944
2018-01-01 18:00:00	0	37.688664840057506	38.22717093770829
2018-01-01 18:10:00	0	37.42911177361299	38.007357666443305
2018-01-01 18:20:00	0	37.15853298904345	37.77616168979252
2018-01-01 18:30:00	0	36.87699806144227	37.53368588974939
2018-01-01 18:40:00	0	36.584602360122155	37.280027901997386
2018-01-01 18:50:00	0	36.28144306970133	37.015285050933485
2018-01-01 19:00:00	0	35.962253440087686	36.73697016530951
2018-01-01 19:10:00	0	35.686760945966405	36.45328748888592
2018-01-01 19:20:00	0	35.41358410930742	36.17206362058582
2018-01-01 19:30:00	0	35.14276137152571	35.8932669570239
2018-01-01 19:40:00	0	34.87427560564855	35.61687656902022
2018-01-01 19:50:00	0	34.60810705043097	35.34287168713362
2018-01-01 20:00:00	0	34.34958711361396	35.073696227496654
2018-01-01 20:10:00	0	34.06675880210525	34.800628554969904
2018-01-01 20:20:00	0	33.78439702521533	34.52803024732277
2018-01-01 20:30:00	0	33.50248125859721	34.25589057705242
2018-01-01 20:40:00	0	33.22100745973456	33.984205632201174
2018-01-01 20:50:00	0	32.93997175257989	33.712971513301774
2018-01-01 21:00:00	0	32.60577272033121	33.41670417743602
2018-01-01 21:10:00	0	32.34394920435741	33.143201678799834
2018-01-01 21:20:00	0	32.085099976361775	32.872707719143506
2018-01-01 21:30:00	0	31.82919139245397	32.60522691731181
2018-01-01 21:40:00	0	31.57619958290582	32.34073544067789
2018-01-01 21:50:00	0	31.326101507639418	32.07920969958464
2018-01-01 22:00:00	0	31.09495119925126	31.828246140226103
2018-01-01 22:10:00	0	30.84842990533965	31.574403679999644
2018-01-01 22:20:00	0	30.60398547825212	31.322758767514085
2018-01-01 22:30:00	0	30.361643588211564	31.07328513626607
2018-01-01 22:40:00	0	30.121391193929	30.825963959021923
2018-01-01 22:50:00	0	29.883213949406606	30.580777076534993
2018-01-01 23:00:00	0	29.631021467301892	30.330087034177375
2018-01-01 23:10:00	0	29.37671356527108	30.08275116744801
2018-01-01 23:20:00	0	29.1230276013463	29.836035032587823
2018-01-01 23:30:00	0	28.869946022920576	29.589937481759634
2018-01-01 23:40:00	0	28.617463273931474	29.344453613534732
2018-01-01 23:50:00	0	50.0	32.73365124652495
2018-01-02 00:00:00	30.0	27.11547654847712	31.29594531880013
2018-01-02 00:10:00	30.0	28.252518025443834	30.78510059726436
2018-01-02 00:20:00	30.0	29.002110753134435	30.448327052939597
2018-01-02 00:30:00	29.98984603111733	29.471558017781458	30.222700066094326
2018-01-02 00:40:00	29.749162033308703	29.23569370451773	29.979850702765518
2018-01-02 00:50:00	29.510582749952135	29.00188125940413	29.73912979643023
2018-01-02 01:00:00	29.2741520078062	28.77009942163981	29.500610416083855
2018-01-02 01:10:00	29.039586768557765	28.54021634704005	29.263941595616455
2018-01-02 01:20:00	28.807047344677667	28.312316023091185	29.029317938433916
2018-01-02 01:30:00	28.576515904474054	28.0863818608982	28.7967210544864
2018-01-02 01:40:00	28.3479749227764	27.862397047689463	28.566133098540103
2018-01-02 01:50:00	28.12140700208961	27.640344739905956	28.337536424230098
2018-01-02 02:00:00	27.89679532705346	27.420209184447934	28.1109137389487
2018-01-02 02:10:00	27.674123536010278	27.201975246302318	27.886248129937048
2018-01-02 02:20:00	27.453375308461236	26.985627385951435	27.66352292582071
2018-01-02 02:30:00	27.234533607367283	26.771148032853695	27.442721329250208
2018-01-02 02:40:00	27.017573807019104	26.55850189577787	27.223823506272414
2018-01-02 02:50:00	26.802439303297078	26.34758212222199	27.00679542812792
2018-01-02 03:00:00	26.58906621798345	26.13828167317352	26.791592607680666
2018-01-02 03:10:00	26.377423019393113	25.93058389468111	26.57817682904633
2018-01-02 03:20:00	26.167589716026363	25.72472878415092	26.366556221651567
2018-01-02 03:30:00	25.95955542683363	25.520688649884853	26.156727457057
2018-01-02 03:40:00	25.753332154970117	25.318495209416206	25.94869368123347
2018-01-02 03:50:00	25.548923414219615	25.118153570746266	25.74245769172214
2018-01-02 04:00:00	25.346316456304987	24.919630130435955	25.538016109956292
2018-01-02 04:10:00	25.14548333742615	24.7228626711305	25.335356390399557
2018-01-02 04:20:00	24.946390589470667	24.527787581322148	25.13445860762435
2018-01-02 04:30:00	24.748996804554455	24.33433274578115	24.935295149800435
2018-01-02 04:40:00	24.55326916739862	24.14245651545114	24.737837170447495
2018-01-02 04:50:00	24.359208575449987	23.952199254864453	24.5420678354232
2018-01-02 05:00:00	24.16680120927972	23.763553289534023	24.347970564527788
2018-01-02 05:10:00	23.97603028875116	23.576501820726442	24.155528585979663
2018-01-02 05:20:00	23.786853391429375	23.39096776488319	23.96471504973274
2018-01-02 05:30:00	23.599258232195158	23.206956434340036	23.775509764564855
2018-01-02 05:40:00	23.413227058635005	23.02445423117286	23.587893111552788
2018-01-02 05:50:00	23.228734990937255	22.843429312502792	23.401843339219404
2018-01-02 06:00:00	23.045765725116134	22.663872226296476	23.21734106516555
2018-01-02 06:10:00	22.888425439214334	22.548552176479888	23.041122122471847
2018-01-02 06:20:00	22.746486998313138	22.44824583109159	22.880479406775
2018-01-02 06:30:00	22.619875751316304	22.363002599280268	22.73528252976728
2018-01-02 06:40:00	22.508479545927	22.292726048453464	22.605412276675978
2018-01-02 06:50:00	22.412541548684224	22.23814808444125	22.490892235518025
2018-01-02 07:00:00	22.331655597522722	22.198310205849623	22.391564396680202
2018-01-02 07:10:00	22.249625018165233	22.12763392930944	22.30443260881059
2018-01-02 07:20:00	22.169589404449184	22.058917258692503	22.21931167283262
2018-01-02 07:30:00	22.09154453302921	21.992151867865072	22.136199208682665
2018-01-02 07:40:00	22.015473102758154	21.92732060870746	22.055077846462094
2018-01-02 07:50:00	21.941358122867577	21.864406892371758	21.97593041482947
2018-01-02 08:00:00	21.869182718381513	21.80339417841683	21.89873988851058
2018-01-02 08:10:00	21.77869120020815	21.699923309837505	21.814079672693516
2018-01-02 08:20:00	21.68642331555103	21.594708283796294	21.727628619672725
2018-01-02 08:30:00	21.592387567847872	21.487760577375745	21.639393896900568
2018-01-02 08:40:00	21.496589458584957	21.379072224562094	21.549387056479286
2018-01-02 08:50:00	21.39900984211658	21.268582036974074	21.457607841528432
2018-01-02 09:00:00	21.29879711935938	21.15642481456967	21.362761488177945
2018-01-02 09:10:00	21.210847573469664	21.07027681983731	21.274002549739272
2018-01-02 09:20:00	21.12362233509524	20.98478456088643	21.18599872640645
2018-01-02 09:30:00	21.03715030447449	20.900032264269115	21.098754061668213
2018-01-02 09:40:00	20.95142407035745	20.816010842945715	21.012261897165626
2018-01-02 09:50:00	20.866437260111507	20.732714163626934	20.926515752735014
2018-01-02 10:00:00	20.79594750568947	20.68137773558911	20.847420880662092
2018-01-02 10:10:00	20.724631255757437	20.61147644077364	20.77546892625741
2018-01-02 10:20:00	20.65392209201109	20.54217344164345	20.704128007393656
2018-01-02 10:30:00	20.58382281168472	20.47346820097967	20.633402419392787
2018-01-02 10:40:00	20.51432815117354	20.405355573472193	20.563286845503136
2018-01-02 10:50:00	20.44543287459572	20.337830392692474	20.493776018639203
2018-01-02 11:00:00	20.378744331742727	20.29068877128926	20.418305525569643
2018-01-02 11:10:00	20.33906395446165	20.26656657036405	20.371635242969262
2018-01-02 11:20:00	20.30225771104011	20.245274348086696	20.327858932077156
2018-01-02 11:30:00	20.26833267491629	20.226806035419784	20.28698957092196
2018-01-02 11:40:00	20.237263951673864	20.211137250117623	20.249002034981736
2018-01-02 11:50:00	20.209026897805565	20.198243822027784	20.213871468082537
2018-01-02 12:00:00	20.208242124181123	20.240402903013084	20.193793078618945
2018-01-02 12:10:00	20.194040979948436	20.229009712452864	20.178330389982683
2018-01-02 12:20:00	20.18058923143459	20.218352862809212	20.16362296226628
2018-01-02 12:30:00	20.167885238083706	20.20842894150409	20.149669951039776
2018-01-02 12:40:00	20.155922492072897	20.199231486341425	20.13646482798125
2018-01-02 12:50:00	20.14469462846816	20.190754310966113	20.124001147925604
2018-01-02 13:00:00	20.164067478601005	20.23600177581728	20.13174917115601
2018-01-02 13:10:00	20.15356408054489	20.210929372176928	20.127791268362394
2018-01-02 13:20:00	20.140599161673045	20.183440281807663	20.121351701902434
2018-01-02 13:30:00	20.125182316035588	20.15354796502637	20.112438328807848
2018-01-02 13:40:00	20.10733473396083	20.12127324390356	20.101072504856127
2018-01-02 13:50:00	20.087077380899927	20.08663667217708	20.087275380471077
2018-01-02 14:00:00	20.065879544410823	20.04985523179935	20.073078873265267
