date	HL_CI4	HL_CI4	HL_CI4	HL_CE2	HL_CE2	HL_CE2	HL_CK3	HL_CK3	HL_CK3	HL_CJ1	HL_CJ1	HL_CJ1	HL_CL1	HL_CL1	HL_CL1	HL_CL21	HL_CL21	HL_CL21	HL_CL3	HL_CL3	HL_CL3
2018-01-13 10:30:00	20.06682268480042	20.13918483391456	20.034312154039	20.0	20.104178898893707	19.953194987453546	20.0	20.093013601259464	19.958211280593574	20.0	20.09957706690268	19.955262477188654	20.200711249481394	20.268502603489065	20.17025426434751	20.0	20.399984857137103	19.820296658387683	20.039646551648026	20.11781960914779	20.00452532291625
2018-01-13 10:40:00	20.084339466298815	20.15635133897325	20.05198630611175	20.0	20.100105312987537	19.955025149237482	20.0	20.08876655337234	19.96011937457184	20.0	20.09570866267086	19.9570004559015	20.222728538502707	20.290053858255156	20.192480931077693	20.0	20.39798901567064	19.821193340785655	20.053019808440684	20.130905745641375	20.018027575785297
2018-01-13 10:50:00	20.10170487544464	20.17337015473808	20.069507431124407	20.0	20.097429344950694	19.9562273957468	20.0	20.085978941922413	19.961371779716018	20.0	20.093166994066905	19.95814236498444	20.244580029030693	20.311442825316103	20.214540222003926	20.0	20.396668715007824	19.821786519344307	20.066174143059854	20.143777672337336	20.031308789326488
2018-01-13 11:00:00	20.12913280737968	20.240584760958043	20.079060190554614	20.009171479160702	20.1159257430879	19.961209418555732	20.017378633095614	20.125280857079666	19.968900822320165	20.012285549312708	20.11904371369772	19.964321736328138	20.285362627802982	20.383905820307934	20.241089599286262	20.0	20.378734345031642	19.82984398991332	20.12531246138817	20.236758050988186	20.07524270374178
2018-01-13 11:10:00	20.191635175975033	20.316306890057135	20.135623246459886	20.042378070698607	20.163235471095234	19.988079818346506	20.05343370066841	20.17557313149357	19.998559463631018	20.046450052837177	20.16727579452879	19.992166023961232	20.339838408207306	20.452855841399863	20.28906245996138	20.0	20.356988361731098	19.839613924439654	20.19677149061483	20.32266699407156	20.140209742684995
2018-01-13 11:20:00	20.25603459618199	20.39391187387443	20.19408973229119	20.07780338718348	20.212732085626442	20.017183247303308	20.09168416449524	20.228029027071308	20.030427776961055	20.08282543466594	20.21768711167727	20.022235405863746	20.39645982815546	20.523913909155155	20.339197849735307	20.0	20.343721470660366	19.8455744117323	20.27167597280907	20.411957771856187	20.20865081671544
2018-01-13 11:30:00	20.32236824551028	20.47341354670654	20.254507313088766	20.115449061760664	20.264405142372297	20.04852676467428	20.132133501252046	20.282639691450903	20.064514778119218	20.121413482076875	20.270267394451594	20.05453708666215	20.455227409157374	20.597072691597823	20.391499818495724	20.0	20.336052077684393	19.849020081040344	20.34998855206247	20.504583420594074	20.280532886490292
2018-01-13 11:40:00	20.39061918289589	20.55479480549748	20.316859120567642	20.155292423276286	20.318232437338814	20.0820874894221	20.17475986911352	20.33938374911019	20.100798415781668	20.16219177118324	20.324994680537202	20.08904843509668	20.516124975783477	20.6723163716005	20.44595202983671	20.0	20.33208558938426	19.85080212650852	20.431653392952978	20.600489318701833	20.35579957123972
2018-01-13 11:50:00	20.460770640256495	20.63803879763421	20.38112842462303	20.197311061787847	20.374191993861885	20.117842816942996	20.21954166480133	20.39824001268272	20.13925689981113	20.2051381390457	20.381847239668204	20.1257470938385	20.579136482641907	20.74962923474701	20.502538289667143	20.0	20.33056866999738	19.85148364101567	20.516615574199086	20.699621695841348	20.434395432591693
2018-01-13 12:00:00	20.530179008448158	20.747249224742333	20.43265470837396	20.25064076810484	20.46151424550176	20.15590051014391	20.274818140907026	20.48793536935085	20.179069820881537	20.259413718637504	20.470084152184157	20.164764683275962	20.650312257747782	20.85483865710067	20.558423585574744	20.0	20.322513555059334	19.85510260569798	20.075523412432837	19.71494278749166	20.23752340334844
2018-01-13 12:10:00	20.618908336322562	20.83643169270458	20.521180451571226	20.30461926695304	20.516942103553795	20.209227847610677	20.33134664824649	20.545881120705147	20.23496159540275	20.314312221500987	20.526412409029327	20.219020832901293	20.179905406468617	19.609015828098336	20.436392028634984	20.0	20.30892337805495	19.861208337395603	20.50097197086119	20.72491680894862	20.400359072590028
2018-01-13 12:20:00	20.707386053759283	20.9253864878432	20.60944382975056	20.35866305935434	20.572443237427784	20.262616892393808	20.3879278730535	20.60388821826065	20.29090221071405	20.369270620689335	20.582808687913435	20.27333322816837	20.610308335244323	20.821019290747284	20.515641094366174	20.0	20.29994186225622	19.86524351116025	20.61358989360108	20.837880694834794	20.512821562612025
2018-01-13 12:30:00	20.795658512470094	21.014140386746135	20.697499989244605	20.412790278890334	20.628026119829556	20.316090118468367	20.444581738770204	20.661966505682813	20.34691611885293	20.42430722558408	20.63928159531664	20.327724537733218	20.683380660542543	20.895220941572205	20.58820604152922	20.0	20.294000341730825	19.86791288994702	20.72555847798747	20.950179667330858	20.624641711760724
2018-01-13 12:40:00	20.88372781435677	21.102695906150075	20.785350845580055	20.46700005740123	20.68368993438098	20.36964663441033	20.501307483497563	20.720115231574177	20.40300255320227	20.479421232066	20.695830386238207	20.38219393091616	20.756543713775603	20.969508651025784	20.66086381443131	20.0	20.2900698680971	19.869678754912897	20.28352868791225	19.929412477911306	20.442624376463407
2018-01-13 12:50:00	20.971596359695795	21.1910560281856	20.87299853762066	20.521291562117266	20.739433874882145	20.423285595512745	20.558104429501803	20.77833378034036	20.459160808110568	20.534611852565394	20.75245427905802	20.436740617474513	20.829790937962688	21.04387876359684	20.733606552532862	20.0	20.287469755389104	19.87084692149185	20.710117972295798	20.94051066004488	20.606608214031723
2018-01-13 13:00:00	21.06680137605588	21.304724043518235	20.959908583427833	20.589010343152765	20.823287660206283	20.483755316650452	20.627935190627078	20.86447956788558	20.52166162982978	20.60323162598328	20.83718429897891	20.498122454057707	20.913765726766133	21.143877229520456	20.81038229799246	20.0	20.27710011213412	19.87550574672235	20.84668628274978	21.093093213722355	20.73598171955919
2018-01-13 13:10:00	21.15518470282629	21.37685963852823	21.055591615771775	20.640837957757512	20.859318274930743	20.54268013409996	20.682078070451727	20.90256400856083	20.583019170721556	20.655933706239452	20.874091326528188	20.557920862341618	20.982177443404403	21.19520472019522	20.886469536440416	20.0	20.26641518472334	19.880306221356182	20.96099825875103	21.18895602494618	20.85858245075032
2018-01-13 13:20:00	21.24030022151741	21.445798068233174	21.147975101978417	20.68955392239518	20.89229978538922	20.598465201339884	20.73310342891866	20.9375948388564	20.641230476627797	20.70552010084759	20.907945215832385	20.61457548397037	21.047499402355907	21.24350888705665	20.95943717009905	20.0	20.258242680952765	19.88397792594876	21.06880465185671	21.278453019499523	20.97461480552444
2018-01-13 13:30:00	21.32219069158073	21.51157558532796	21.237104724824704	20.735191944970822	20.92226419533047	20.65114499191069	20.781044587835463	20.969603154567046	20.696329869448817	20.75202428045974	20.93877772614094	20.668120558487033	21.109756996136483	21.288813568854163	21.029311289553192	20.0	20.251729331077996	19.886904213573654	21.170211782367172	21.361688147922948	21.08418616885662
2018-01-13 13:40:00	20.191392246092512	18.734395154107744	20.845985142491443	20.777783393323386	20.94924225101279	20.700751152912197	20.82593224326437	20.998619241782116	20.748348229437553	20.795477405075516	20.96661938004916	20.718587532261267	21.168973280575848	21.33114130512801	21.096115182588647	20.0	20.24631355903969	19.889337386518402	21.26532441672675	21.438763935239095	21.187402314206707
2018-01-13 13:50:00	21.07340169232255	21.238737701456145	20.999120296914697	20.817359321501957	20.97326439476327	20.747315013225133	20.867796589112842	21.02467254431513	20.797316087500214	20.835910370752917	20.99150051360482	20.76600755294988	21.22517115580732	21.370514514548066	21.15987196564842	20.0	20.24162386416262	19.891444350883464	21.072403824218963	20.93296730316427	21.135049217736295
2018-01-13 14:00:00	21.15170102684448	21.298902576116134	21.08556699746157	20.855026740913207	20.994046827356435	20.792568441206825	20.907849485027185	21.0475641337572	20.845079135597764	20.874425847555322	21.013129897347874	20.812109535329675	21.27952719680278	21.40688075721977	21.222310379803844	20.0	20.23727493875791	19.893398215920367	21.315891128570183	21.45477951158199	21.253491999970677
2018-01-13 14:10:00	21.231900173355797	21.375270081594593	21.16748760588621	20.897086858020458	21.03275026968364	20.836136629592076	20.952228310945394	21.088494002060095	20.89100749319821	20.917322835070536	21.05265793440534	20.856520109282435	21.33868353311732	21.462111739331995	21.283230281049853	20.0	20.23501946372819	19.89441154528154	21.404317130005353	21.53858687087184	21.34399304352911
2018-01-13 14:20:00	21.3108501267841	21.450410945279373	21.24814888948913	20.93808479645277	21.070412235551828	20.878633338306813	20.99553442040376	21.12837238310162	20.93585359658298	20.959152539314687	21.091139499339782	20.899854050028047	21.396759741359332	21.516285364260646	21.343059823823964	20.0	20.233526748105305	19.89508218563385	21.49018299113096	21.619874329925352	21.431915867904493
2018-01-13 14:30:00	21.38855830544415	21.524334948644125	21.327557204876058	20.97803061203846	21.107042891049225	20.920068573642325	21.03777738562854	21.16720887887135	20.979627004606407	20.99992497200118	21.128584693787545	20.94212132887977	21.453763569923964	21.569409330238788	21.40180677905788	20.0	20.23253927726471	19.895525831953545	21.573502920027444	21.69867060701418	21.51726816210588
2018-01-13 14:40:00	21.46503566890016	21.59705306190662	21.405723506824813	21.0169350241885	21.142652730449527	20.96045315615818	21.078967776354556	21.20501389917777	21.022338358854263	21.0396507852755	21.165003887279717	20.983332724954757	21.509703084246908	21.6214915100256	21.45947929875213	20.0	20.23188603874059	19.895819315928147	21.654318614422536	21.775016434622586	21.600092057521067
