date	grid_prod_4	CI3_app	CI3_light	heat_pump_4__elec_cons
2025-01-01 14:20:00	7.81134	6.871	0.94034	0.0
2025-01-01 14:30:00	9.95108	9.122	0.8290799999999999	0.0
2025-01-01 14:40:00	9.73606	8.905	0.8310599999999999	0.0
2025-01-01 14:50:00	10.97646	10.036	0.94046	0.0
2025-01-01 15:00:00	7.52334	6.584	0.93934	0.0
2025-01-01 15:10:00	7.2251	6.131	1.0940999999999996	0.0
2025-01-01 15:20:00	8.40964	7.359	1.05064	0.0
2025-01-01 15:30:00	7.68302	6.616	1.06702	0.0
2025-01-01 15:40:00	7.7267	6.735	0.9917	0.0
2025-01-01 15:50:00	8.24724	7.128	1.1192399999999998	0.0
2025-01-01 16:00:00	9.3211	8.174	1.1471	0.0
2025-01-01 16:10:00	7.32756	6.053	1.27456	0.0
2025-01-01 16:20:00	7.21564	5.92	1.29564	0.0
2025-01-01 16:30:00	6.1342	4.807	1.3272	0.0
2025-01-01 16:40:00	8.6971	7.421	1.2761	0.0
2025-01-01 16:50:00	13.95098	12.676	1.27498	0.0
2025-01-01 17:00:00	12.27726	11.006	1.2712600000000005	0.0
2025-01-01 17:10:00	11.42502	10.163	1.26202	0.0
2025-01-01 17:20:00	16.24278	14.937	1.3057800000000002	0.0
2025-01-01 17:30:00	17.99268	16.658	1.3346799999999996	0.0
2025-01-01 17:40:00	17.74218	16.341	1.40118	0.0
2025-01-01 17:50:00	12.10012	10.633	1.46712	0.0
2025-01-01 18:00:00	12.00618	10.552	1.4541799999999998	0.0
2025-01-01 18:10:00	10.81142	9.355	1.4564199999999998	0.0
2025-01-01 18:20:00	7.73696	6.404	1.3329599999999997	0.0
2025-01-01 18:30:00	10.85168	9.47	1.38168	0.0
2025-01-01 18:40:00	11.00204	9.554	1.4480399999999995	0.0
2025-01-01 18:50:00	10.12794	8.647	1.48094	0.0
2025-01-01 19:00:00	14.75884	13.217	1.54184	0.0
2025-01-01 19:10:00	14.92	13.288	1.632	0.0
2025-01-01 19:20:00	17.3023	15.661	1.6413	0.0
2025-01-01 19:30:00	18.7483	16.945	1.8033	0.0
2025-01-01 19:40:00	15.63012	13.9	1.7301199999999997	0.0
2025-01-01 19:50:00	17.2818	15.34	1.9418	0.0
2025-01-01 20:00:00	15.31396	13.492	1.8219600000000005	0.0
2025-01-01 20:10:00	14.84996	13.101	1.7489599999999998	0.0
2025-01-01 20:20:00	11.5139	9.783	1.7308999999999997	0.0
2025-01-01 20:30:00	8.51798	6.868	1.64998	0.0
2025-01-01 20:40:00	10.44926	8.586	1.86326	0.0
2025-01-01 20:50:00	10.49378	8.78	1.7137799999999994	0.0
2025-01-01 21:00:00	9.52296	7.76	1.76296	0.0
2025-01-01 21:10:00	10.37836	8.621	1.7573599999999996	0.0
2025-01-01 21:20:00	9.50384	7.802	1.7018399999999998	0.0
2025-01-01 21:30:00	9.11054	7.415	1.6955400000000005	0.0
2025-01-01 21:40:00	10.1028	8.476	1.6268000000000002	0.0
2025-01-01 21:50:00	9.52148	8.096	1.42548	0.0
2025-01-01 22:00:00	9.79142	8.394	1.39742	0.0
2025-01-01 22:10:00	9.01384	7.668	1.34584	0.0
2025-01-01 22:20:00	8.71372	7.443	1.27072	0.0
2025-01-01 22:30:00	8.16836	7.083	1.08536	0.0
2025-01-01 22:40:00	6.61734	5.699	0.91834	0.0
2025-01-01 22:50:00	6.31438	5.528	0.7863800000000001	0.0
2025-01-01 23:00:00	8.74956	7.982	0.7675599999999999	0.0
2025-01-01 23:10:00	8.3796	7.688	0.6915999999999999	0.0
2025-01-01 23:20:00	4.97388	4.387	0.58688	0.0
2025-01-01 23:30:00	6.1731	5.681	0.4921	0.0
2025-01-01 23:40:00	6.61306	6.105	0.50806	0.0
2025-01-01 23:50:00	5.99892	5.631	0.36792	0.0
2025-01-02 00:00:00	4.46978	4.242	0.22778	0.0
2025-01-02 00:10:00	4.81018	4.584	0.22618	0.0
2025-01-02 00:20:00	4.9625	4.647	0.3155	0.0
2025-01-02 00:30:00	5.06006	4.905	0.15506	0.0
2025-01-02 00:40:00	4.4744	4.403	0.0714	0.0
2025-01-02 00:50:00	3.7528	3.729	0.0238	0.0
2025-01-02 01:00:00	4.8778	4.767	0.1108	0.0
2025-01-02 01:10:00	4.674	4.604	0.07	0.0
2025-01-02 01:20:00	4.5792	4.526	0.0532	0.0
2025-01-02 01:30:00	3.559	3.559	0.0	0.0
2025-01-02 01:40:00	4.379	4.351	0.028	0.0
2025-01-02 01:50:00	5.2358	5.219	0.0168	0.0
2025-01-02 02:00:00	5.0928	5.076	0.0168	0.0
2025-01-02 02:10:00	4.5168	4.5	0.0168	0.0
2025-01-02 02:20:00	3.5084	3.486	0.0224	0.0
2025-01-02 02:30:00	4.802	4.76	0.042	0.0
2025-01-02 02:40:00	4.875	4.833	0.042	0.0
2025-01-02 02:50:00	5.087561295548803	4.69	0.042	0.3555612955488032
2025-01-02 03:00:00	5.533089540380181	4.179	0.0812	1.272889540380181
2025-01-02 03:10:00	6.27073132949109	4.548	0.1141	1.6086313294910906
2025-01-02 03:20:00	6.924711976182515	5.036	0.0972999999999999	1.7914119761825142
2025-01-02 03:30:00	6.973454961010223	4.735	0.1197	2.118754961010223
2025-01-02 03:40:00	6.772671819783715	4.293	0.0364	2.443271819783715
2025-01-02 03:50:00	6.8201318355653475	4.173	0.0825999999999999	2.5645318355653473
2025-01-02 04:00:00	7.6286462034644416	5.063	0.0994	2.4662462034644412
2025-01-02 04:10:00	7.573353351307856	4.948	0.063	2.5623533513078556
2025-01-02 04:20:00	8.075854450261645	5.56	0.0917	2.4241544502616454
2025-01-02 04:30:00	7.101815414902616	4.044	0.1085	2.9493154149026153
2025-01-02 04:40:00	7.146067814480663	4.147	0.1301999999999999	2.8688678144806636
2025-01-02 04:50:00	7.352045279067565	4.583	0.0441	2.7249452790675646
2025-01-02 05:00:00	7.971392064720179	5.472	0.0476	2.45179206472018
2025-01-02 05:10:00	7.363795065004643	4.502	0.0672	2.794595065004643
2025-01-02 05:20:00	7.09939757928748	4.093	0.0678999999999999	2.93849757928748
2025-01-02 05:30:00	7.609219622639268	4.912	0.0693	2.6279196226392676
2025-01-02 05:40:00	7.353910764144866	4.511	0.08386	2.7590507641448667
2025-01-02 05:50:00	9.6533	4.495	0.1182999999999999	5.04
2025-01-02 06:00:00	14.17494	3.966	0.12894	10.08
2025-01-02 06:10:00	15.66756	5.363	0.22456	10.08
2025-01-02 06:20:00	17.662266979687544	7.609	0.35252	9.700746979687544
2025-01-02 06:30:00	17.121512951144794	7.1	0.37338	9.648132951144794
2025-01-02 06:40:00	17.548960055303496	10.992	0.5592999999999999	5.9976600553034976
2025-01-02 06:50:00	22.04426	11.291	0.67326	10.08
2025-01-02 07:00:00	21.833930850742732	11.827	0.7487800000000001	9.258150850742734
2025-01-02 07:10:00	16.54787978932638	6.96	0.92336	8.664519789326382
2025-01-02 07:20:00	12.048879789326383	7.347	1.07736	3.624519789326383
2025-01-02 07:30:00	10.66636	9.659	1.00736	0.0
2025-01-02 07:40:00	9.33208	8.188	1.14408	0.0
2025-01-02 07:50:00	9.55988	8.431	1.1288799999999997	0.0
2025-01-02 08:00:00	12.51548	11.346	1.16948	0.0
2025-01-02 08:10:00	11.79408	10.626	1.16808	0.0
2025-01-02 08:20:00	10.55996	9.515	1.04496	0.0
2025-01-02 08:30:00	11.80564	10.731	1.07464	0.0
2025-01-02 08:40:00	13.39466	12.468	0.92666	0.0
2025-01-02 08:50:00	12.41376	11.485	0.9287599999999998	0.0
2025-01-02 09:00:00	11.40174	10.661	0.7407399999999998	0.0
2025-01-02 09:10:00	12.65644	11.852	0.80444	0.0
2025-01-02 09:20:00	12.6003	11.719	0.8813	0.0
2025-01-02 09:30:00	13.15616	12.23	0.92616	0.0
2025-01-02 09:40:00	9.48138	8.594	0.88738	0.0
2025-01-02 09:50:00	7.11264	6.119	0.99364	0.0
2025-01-02 10:00:00	8.53914	7.493	1.04614	0.0
2025-01-02 10:10:00	8.46052	7.478	0.98252	0.0
2025-01-02 10:20:00	6.8609240315312015	5.507	0.90588	0.4480440315312011
2025-01-02 10:30:00	6.77334	5.967	0.80634	0.0
2025-01-02 10:40:00	8.46114	7.589	0.87214	0.0
2025-01-02 10:50:00	8.42442	7.58	0.8444199999999998	0.0
2025-01-02 11:00:00	10.28792	9.57	0.71792	0.0
2025-01-02 11:10:00	10.70208	9.817	0.8850800000000001	0.0
2025-01-02 11:20:00	10.61782	9.811	0.80682	0.0
2025-01-02 11:30:00	9.24734	8.346	0.90134	0.0
2025-01-02 11:40:00	8.61828	7.718	0.90028	0.0
2025-01-02 11:50:00	9.4362	8.567	0.8692	0.0
2025-01-02 12:00:00	10.1393	9.24	0.8993	0.0
2025-01-02 12:10:00	9.7784	8.842	0.9364	0.0
2025-01-02 12:20:00	12.49384	11.53	0.96384	0.0
2025-01-02 12:30:00	11.33474	10.555	0.7797399999999999	0.0
2025-01-02 12:40:00	12.35522	11.508	0.8472199999999998	0.0
2025-01-02 12:50:00	12.45384	11.445	1.00884	0.0
2025-01-02 13:00:00	15.16864	14.094	1.07464	0.0
2025-01-02 13:10:00	15.55046	14.505	1.04546	0.0
2025-01-02 13:20:00	9.1664	8.048	1.1184	0.0
2025-01-02 13:30:00	8.02594	6.969	1.05694	0.0
2025-01-02 13:40:00	8.78898	7.643	1.1459799999999998	0.0
2025-01-02 13:50:00	8.47706	7.335	1.14206	0.0
2025-01-02 14:00:00	8.336	7.429	0.907	0.0
2025-01-02 14:10:00	7.89906	6.855	1.0440600000000002	0.0
2025-01-02 14:20:00	11.11498	10.116	0.99898	0.0
2025-01-02 14:30:00	9.9258	8.911	1.0147999999999997	0.0
2025-01-02 14:40:00	8.8648	7.997	0.8678000000000001	0.0
2025-01-02 14:50:00	7.4897	6.722	0.7676999999999999	0.0
2025-01-02 15:00:00	5.44442	4.572	0.87242	0.0
2025-01-02 15:10:00	7.10556	6.359	0.7465599999999999	0.0
2025-01-02 15:20:00	8.44686	7.565	0.88186	0.0
2025-01-02 15:30:00	8.65066	7.773	0.87766	0.0
2025-01-02 15:40:00	10.15468	9.152	1.00268	0.0
2025-01-02 15:50:00	10.46728	9.487	0.98028	0.0
2025-01-02 16:00:00	10.122	9.107	1.015	0.0
2025-01-02 16:10:00	9.89984	8.863	1.03684	0.0
2025-01-02 16:20:00	11.27632	10.452	0.8243199999999999	0.0
2025-01-02 16:30:00	7.50976	6.588	0.92176	0.0
2025-01-02 16:40:00	8.20856	7.144	1.06456	0.0
2025-01-02 16:50:00	11.98152	10.943	1.03852	0.0
2025-01-02 17:00:00	10.9874	9.866	1.1214000000000002	0.0
2025-01-02 17:10:00	12.16428	11.18	0.98428	0.0
2025-01-02 17:20:00	11.79136	10.702	1.08936	0.0
2025-01-02 17:30:00	12.96676	11.932	1.03476	0.0
2025-01-02 17:40:00	10.17268	9.183	0.98968	0.0
2025-01-02 17:50:00	7.48488	6.46	1.02488	0.0
