#C1 Time in seconds. Beginning of a year is 0s.;#C2 Dry bulb temperature in Celsius at indicated time;#C3 Dew point temperature in Celsius at indicated time;#C9 Global horizontal radiation in Wh/m2;#C18 Total sky cover at indicated time
0;0.8;0.3;0;10
3600;0.8;0.3;0;10
7200;-0.6;-0.9;0;10
10800;-1.5;-1.7;0;10
14400;-1.9;-2;0;10
18000;-2.1;-2.2;0;10
21600;-2.4;-2.4;0;10
25200;-1.9;-2.5;0;10
28800;-2;-2;0;10
32400;-2;-2;2;10
36000;-1.9;-2.5;16;10
39600;-2;-2;41;10
43200;-1.5;-1.5;61;10
46800;-1;-1;70;10
50400;0;-1;66;10
54000;0;-1;50;10
57600;-0.3;-1.1;27;10
61200;-1;-1;5;10
64800;-1;-1;0;10
68400;-1.1;-1.3;0;10
72000;-1;-2;0;10
75600;-2;-2;0;10
79200;-1.7;-2.2;0;10
82800;-2;-2;0;10
86400;-1;-2;0;10
90000;-1;-1;0;10
93600;-1;-1;0;10
97200;-1;-1;0;9
100800;-1;-1;0;9
104400;-1;-1;0;9
108000;-1;-1;0;10
111600;-1;-1;0;10
115200;-1;-1;0;10
118800;-1;-1;2;10
122400;-0.4;-1;16;10
126000;0;-1;41;10
129600;1;0;61;10
133200;2;0;70;10
136800;2;0;67;10
140400;2;0;51;10
144000;2.1;0.1;27;10
147600;2;1;5;10
151200;2;0;0;10
154800;1.9;0.8;0;10
158400;2;1;0;10
162000;2;1;0;10
165600;2;1;0;10
169200;2;1;0;10
172800;2;1;0;10
176400;2;1;0;10
180000;2;1;0;10
183600;2;1;0;9
187200;2;0.9;0;9
190800;2;0;0;8
194400;2;0;0;8
198000;0.8;0;0;7
201600;1;0;0;8
205200;1;1;4;8
208800;2.1;1;31;9
212400;3;2;79;9
216000;5;2;117;9
219600;6.8;1.8;135;9
223200;8;3;176;7
226800;10;3;162;6
230400;9;3;97;5
234000;8;3;19;5
237600;6;3;0;5
241200;4.9;1.9;0;5
244800;4;1;0;5
248400;4;1;0;6
252000;3.5;1.1;0;6
255600;4;1;0;7
259200;3;1;0;8
262800;4;1;0;9
266400;4;1;0;9
270000;4;2;0;9
273600;5.1;2.9;0;9
277200;5;3;0;9
280800;5;3;0;9
284400;4.5;3.3;0;9
288000;5;3;0;9
291600;6;3;3;9
295200;6;4;31;9
298800;7;5;67;9
302400;8;5;82;10
306000;8;6;71;10
309600;9;6;67;10
313200;10;5;52;10
316800;9.6;5.5;28;10
320400;10;5;6;10
324000;9;5;0;10
327600;8.8;5;0;10
331200;9;5;0;10
334800;8.8;5.6;0;10
338400;8.7;5.9;0;10
342000;9;6;0;10
345600;8.5;6;0;9
349200;8;6;0;9
352800;8;6;0;9
356400;8;6;0;9
360000;8;6.3;0;9
363600;8;6;0;9
367200;8;7;0;10
370800;7.9;7.1;0;10
374400;8;7;0;10
378000;8;7;2;10
381600;8.3;8.1;16;10
385200;9;9;41;10
388800;9;9;61;10
392400;10;10;71;10
396000;10;10;67;10
399600;10;10;52;10
403200;10;10;28;10
406800;9.5;9.5;9;9
410400;9;9;0;8
414000;9;8.9;0;7
417600;8;8;0;8
421200;8;8;0;8
424800;9;9;0;9
428400;8;8;0;9
432000;7;7;0;10
435600;7;7;0;10
439200;5;5;0;10
442800;5;5;0;10
446400;6;6;0;10
450000;5;5;0;8
453600;4;4;0;7
457200;4;4;0;5
460800;4;4;0;5
464400;4;4;6;6
468000;4;4;52;6
471600;5;4.9;110;7
475200;6;6;119;9
478800;6.4;6.4;72;10
482400;7;7;111;9
486000;9;9;114;8
489600;9;8;76;7
493200;8;8;18;6
496800;6;6;0;5
500400;5;4;0;4
504000;6;6;0;5
507600;6;5;0;6
511200;5;4;0;7
514800;5;4;0;6
518400;5;4;0;4
522000;5;4;0;2
525600;4;3;0;4
529200;3;3;0;6
532800;4;4;0;7
536400;3;2;0;8
540000;5;5;0;8
543600;6;5.3;0;9
547200;6;5;0;9
550800;6;5;2;10
554400;6;5.3;17;10
558000;6;5;56;10
561600;7;6;102;9
565200;7.3;5.4;138;9
568800;7;5;195;7
572400;8;3;184;5
576000;8;2;113;4
579600;7;2;24;2
583200;4;0;0;1
586800;3.8;0.1;0;0
590400;3;0;0;1
594000;2;-1;0;2
597600;1;-1;0;4
601200;1;-1;0;2
604800;1;-1;0;1
608400;1;-1;0;0
612000;0;-2;0;1
615600;0;-1.2;0;2
619200;0;-1;0;4
622800;0;-1;0;5
626400;0;-1;0;6
630000;0;-1;0;7
633600;0;-1;0;7
637200;0;-1;5;7
640800;1;0;45;7
644400;2;1;93;8
648000;2;1;103;9
651600;3;1;73;10
655200;4;3;134;9
658800;4;3;143;7
662400;4;3;96;6
666000;4;2;18;7
669600;2;1;0;8
673200;2.1;1.7;0;9
676800;1;1;0;6
680400;2;1;0;4
684000;1;1;0;1
687600;1;1;0;3
691200;2;1;0;5
694800;1;1;0;6
698400;2;1;0;7
702000;2;2;0;9
705600;1;1;0;10
709200;0;0;0;10
712800;1;1;0;10
716400;1;0;0;10
720000;0;0;0;10
723600;1;0;2;10
727200;1;1;17;10
730800;1;1;43;10
734400;1;1;64;10
738000;2;2;74;10
741600;2;2;71;10
745200;2;2;55;10
748800;2;2;31;10
752400;2;2;7;10
756000;2;1;0;10
759600;1.4;1;0;10
763200;1;1;0;10
766800;1;1;0;10
770400;1;1;0;10
774000;1;1;0;10
777600;1;0;0;10
781200;1;0;0;10
784800;-1;-1;0;10
788400;-1;-1;0;10
792000;-0.6;-0.6;0;10
795600;-1;-1;0;10
799200;-1;-1;0;10
802800;-1;-1;0;10
806400;-1;-1;0;10
810000;-1;-1;3;9
813600;0;0;33;9
817200;1;0;105;8
820800;2;0;182;7
824400;4;0;236;6
828000;3;1;202;7
831600;2.5;0.7;135;8
835200;2;1;61;9
838800;2;1;12;9
842400;2;1;0;10
846000;2;1;0;10
849600;2;1;0;10
853200;2;1;0;10
856800;2;1;0;10
860400;2;1;0;10
864000;1;1;0;10
867600;1;1;0;10
871200;1;1;0;10
874800;1;1;0;10
878400;1;1;0;10
882000;1;1;0;10
885600;1;0;0;10
889200;0;-1;0;10
892800;-1;-1;0;10
896400;-1;-1;2;10
900000;0;-1;18;10
903600;-1;-1;124;7
907200;-1;-1;243;4
910800;1.6;0.4;301;1
914400;5;2;289;1
918000;5;1;227;1
921600;5.7;2.4;129;1
925200;4;2;31;2
928800;2;1;1;2
932400;2;1;0;2
936000;0;-1;0;2
939600;0;-1;0;2
943200;0;-1;0;1
946800;1;-1;0;1
950400;1;-1;0;0
954000;1;-1;0;0
957600;1;0;0;0
961200;1;0;0;0
964800;3;2;0;0
968400;3;1;0;0
972000;1;0;0;0
975600;1;0;0;0
979200;1;0;0;2
982800;1;0;8;3
986400;2.6;1;64;5
990000;6;3;152;5
993600;8;3;217;6
997200;9;3;240;6
1000800;10;4;219;7
1004400;10;4;162;7
1008000;9;3;87;7
1011600;9;3;26;6
1015200;7;3;1;5
1018800;7;3;0;4
1022400;7;3;0;3
1026000;7;3;0;3
1029600;5;2;0;2
1033200;4;2;0;2
1036800;6;3;0;2
1040400;6.7;2.6;0;2
1044000;6;2;0;2
1047600;6;2;0;2
1051200;5.3;1.3;0;2
1054800;6;2;0;2
1058400;7;3;0;2
1062000;7;3.6;0;2
1065600;7;3;0;5
1069200;8;3;6;7
1072800;8;3;35;9
1076400;9;4;85;9
1080000;9.5;4.4;126;9
1083600;10;5;146;9
1087200;10;6;141;9
1090800;10;6;111;9
1094400;10;6;64;9
1098000;9;5;16;9
1101600;9;5;0;9
1105200;9;5;0;9
1108800;9;6;0;9
1112400;9;6;0;10
1116000;9;6;0;10
1119600;7;6;0;10
1123200;7;6;0;10
1126800;6;4;0;10
1130400;5;2;0;10
1134000;4;2;0;10
1137600;4;2;0;10
1141200;3;2;0;9
1144800;2;0;0;7
1148400;2;0;0;6
1152000;2;0;0;7
1155600;2;0;4;9
1159200;2;0;19;10
1162800;2;-1;46;10
1166400;3;-1;67;10
1170000;3.9;-2.5;78;10
1173600;4;-3;75;10
1177200;4;-2;60;10
1180800;1.6;-0.4;35;10
1184400;1;0;9;10
1188000;1;0;0;10
1191600;0.8;0;0;10
1195200;1;0;0;10
1198800;1;0;0;10
1202400;2;1;0;10
1206000;3;1;0;10
1209600;3;1;0;10
1213200;3;1;0;10
1216800;3;1.3;0;10
1220400;3;2;0;9
1224000;3.7;2;0;9
1227600;3;2;0;9
1231200;4;3;0;10
1234800;4;3;0;10
1238400;4;3.2;0;10
1242000;4;3;2;10
1245600;4.8;3.6;19;10
1249200;5;4;46;10
1252800;5;4;68;10
1256400;6;4;78;10
1260000;6;4;76;10
1263600;7;5;60;10
1267200;7;5;35;10
1270800;7;5;10;10
1274400;7;5;0;10
1278000;8;5;0;10
1281600;8;5;0;10
1285200;7;6;0;10
1288800;8;6;0;10
1292400;8;6;0;10
1296000;9;6;0;9
1299600;9;6;0;9
1303200;9;6;0;9
1306800;8;6;0;9
1310400;8;6;0;9
1314000;8;6;0;9
1317600;8;7;0;9
1321200;8;6;0;9
1324800;8;6;0;9
1328400;8;6;4;9
1332000;8.1;6.7;37;9
1335600;8;7;88;9
1339200;9;7;130;9
1342800;10;7;150;9
1346400;10;6;146;9
1350000;9;6;116;9
1353600;9;6;69;9
1357200;8;5;29;7
1360800;8;5;1;5
1364400;6;5;0;4
1368000;6;5;0;4
1371600;5;4;0;4
1375200;6;5;0;4
1378800;5;4;0;4
1382400;4;4;0;4
1386000;4;3;0;4
1389600;3;3;0;4
1393200;3;3;0;4
1396800;3.2;3;0;4
1400400;2;2;0;4
1404000;2;2;0;5
1407600;1.4;1.2;0;5
1411200;2;1;0;6
1414800;1;0;6;7
1418400;3;2.2;38;9
1422000;6;6;113;8
1425600;7;6;194;7
1429200;8.3;5;252;6
1432800;9;3;256;6
1436400;9;3;214;5
1440000;9;3;132;5
1443600;8;3;41;3
1447200;6;2;2;2
1450800;3.9;1.9;0;0
1454400;4;1;0;1
1458000;3;1;0;2
1461600;2;1;0;4
1465200;1;0;0;2
1468800;1;0;0;1
1472400;0.8;0.3;0;0
1476000;0;-1;0;1
1479600;-1;-2;0;2
1483200;-2;-2.3;0;2
1486800;-2;-2;0;2
1490400;-3;-3;0;2
1494000;-1.6;-2;0;1
1497600;-2;-2;0;1
1501200;-2;-2;10;0
1504800;-2;-2;81;0
1508400;-1;-1;192;0
1512000;0;0;281;0
1515600;3;2;325;0
1519200;4;2;306;3
1522800;2;2;209;6
1526400;3;0;73;9
1530000;2;0;22;9
1533600;2;0;1;9
1537200;2;0;0;9
1540800;2;0;0;9
1544400;2;0;0;9
1548000;2;1;0;9
1551600;2;1;0;9
1555200;2;1;0;9
1558800;2;1;0;9
1562400;2;1;0;9
1566000;2;1;0;10
1569600;2;1;0;10
1573200;2;1;0;10
1576800;2;1;0;10
1580400;1;1;0;10
1584000;1;1;0;10
1587600;2;-2;4;9
1591200;3;-2;40;9
1594800;2;-1;128;7
1598400;0;-1;225;6
1602000;2;0;291;5
1605600;3;-1;283;5
1609200;3;-4;229;5
1612800;3;-5;139;5
1616400;1;-4;41;5
1620000;1;-3;2;6
1623600;1.1;-3.7;0;6
1627200;1;-2;0;7
1630800;0;-2;0;8
1634400;0;-1;0;9
1638000;-1;-2;0;8
1641600;1;-2;0;7
1645200;0;-1;0;6
1648800;0;-2;0;7
1652400;0;-2;0;8
1656000;0;-1;0;9
1659600;0;-3;0;6
1663200;0;-3;0;4
1666800;0;-3;0;1
1670400;0;-4;0;2
1674000;-1;-4;10;2
1677600;0;-3;84;2
1681200;1;-3;191;3
1684800;1;-3;269;4
1688400;2;-3;296;5
1692000;2;-3;302;4
1695600;2;-3;253;3
1699200;2;-4;158;2
1702800;1;-4;50;2
1706400;0;-4;3;1
1710000;-0.3;-3;0;0
1713600;-1;-3;0;0
1717200;-1;-3;0;0
1720800;-0.9;-3.7;0;0
1724400;-1;-3;0;0
1728000;-1;-3;0;0
1731600;-1;-3;0;0
1735200;-2;-3;0;0
1738800;-2;-3;0;0
1742400;-2;-3.2;0;0
1746000;-2;-3;0;0
1749600;-2;-4;0;0
1753200;-3;-4;0;0
1756800;-4;-5;0;0
1760400;-4;-5;11;1
1764000;-2;-3;87;1
1767600;-1;-2;200;1
1771200;0.4;-2.1;292;1
1774800;1.8;-1.3;337;1
1778400;2.2;-2.1;328;1
1782000;2.6;-2.8;267;1
1785600;3;-3;164;1
1789200;2;-3;52;2
1792800;1;-3;3;2
1796400;0.3;-2.7;0;2
1800000;0;-3;0;2
1803600;-1;-3;0;1
1807200;-1;-4;0;0
1810800;-2;-3;0;0
1814400;-2;-3;0;0
1818000;-2.5;-3.8;0;0
1821600;-3;-4;0;0
1825200;-3;-4;0;0
1828800;-3;-4;0;0
1832400;-2.5;-3.6;0;3
1836000;-2;-3;0;7
1839600;-3;-3;0;10
1843200;-3;-3;0;10
1846800;-3;-3;3;10
1850400;-2.8;-3.2;22;10
1854000;-3;-3;51;10
1857600;-2;-3;74;10
1861200;-1;-2;86;10
1864800;-2;-2;83;10
1868400;-1;-1;68;10
1872000;-2;-2;42;10
1875600;-2;-2;14;10
1879200;-2;-3;1;10
1882800;-2;-3;0;10
1886400;-3;-3;0;10
1890000;-3;-3;0;10
1893600;-3;-3;0;10
1897200;-3;-3;0;10
1900800;-3;-3;0;10
1904400;-3;-3;0;10
1908000;-4;-4;0;10
1911600;-4;-4;0;10
1915200;-4;-4;0;10
1918800;-4;-4;0;10
1922400;-4;-4;0;10
1926000;-4;-4.5;0;10
1929600;-4;-4.6;0;10
1933200;-4;-4.6;3;10
1936800;-4.2;-4.7;23;10
1940400;-4;-4;52;10
1944000;-3;-3;75;10
1947600;-2.7;-3.2;87;10
1951200;-2;-2;84;10
1954800;-2;-2;69;10
1958400;-2;-2;43;10
1962000;-2;-2;15;10
1965600;-2;-2;1;10
1969200;-2.9;-3.3;0;10
1972800;-3;-3;0;10
1976400;-3;-3;0;10
1980000;-3;-3.4;0;10
1983600;-3;-4;0;10
1987200;-4;-4;0;10
1990800;-4;-4;0;10
1994400;-4;-5;0;10
1998000;-4;-5;0;10
2001600;-4;-5;0;10
2005200;-4;-5;0;10
2008800;-4;-5;0;10
2012400;-4;-5;0;10
2016000;-5;-5;0;10
2019600;-5;-5;3;10
2023200;-5.1;-5.7;23;10
2026800;-4;-5;53;10
2030400;-4;-4;76;10
2034000;-3;-3;88;10
2037600;-2;-3;86;10
2041200;-2;-2;70;10
2044800;-2;-2;44;10
2048400;-2;-2;15;10
2052000;-2;-3;1;10
2055600;-2;-3;0;10
2059200;-2;-2;0;10
2062800;-2;-3;0;10
2066400;-3;-3;0;10
2070000;-3;-3;0;10
2073600;-3;-3;0;10
2077200;-3;-4;0;10
2080800;-4;-4;0;10
2084400;-4;-4;0;10
2088000;-4;-4;0;10
2091600;-4;-4;0;10
2095200;-4;-4;0;10
2098800;-4.1;-5.2;0;10
2102400;-5;-5;0;10
2106000;-4;-5;5;9
2109600;-3.9;-4.4;46;9
2113200;-2;-3;116;8
2116800;-1;-2;185;8
2120400;0;-1;232;7
2124000;1;1;227;7
2127600;2;2;186;7
2131200;3;2;118;7
2134800;3;2;45;7
2138400;2;1;4;7
2142000;0.8;0.3;0;6
2145600;1;0;0;6
2149200;1;0;0;6
2152800;0;0;0;6
2156400;1;0;0;6
2160000;2;1;0;6
2163600;1;1;0;6
2167200;1;1;0;7
2170800;1;1;0;7
2174400;1;0;0;7
2178000;1;0;0;7
2181600;1;0;0;7
2185200;1;0;0;7
2188800;2;0;0;8
2192400;2;1;7;8
2196000;3;1;47;9
2199600;5;1;162;7
2203200;7;2;282;5
2206800;9;3;351;2
2210400;10;3;340;3
2214000;11;1;278;3
2217600;11.2;2.2;174;4
2221200;10.1;2.8;57;5
2224800;9;4;4;7
2228400;7;4;0;9
2232000;6;2;0;8
2235600;6;2;0;8
2239200;4;1;0;7
2242800;5;2;0;7
2246400;4;1;0;7
2250000;3;1;0;7
2253600;2;1;0;7
2257200;3;1;0;7
2260800;2;0;0;7
2264400;1;-1;0;7
2268000;1;0;0;7
2271600;1;0;0;6
2275200;1;0;0;7
2278800;2;0;10;7
2282400;5;3;66;7
2286000;8;3;155;7
2289600;9;3;236;7
2293200;11;6;285;6
2296800;13;6;249;7
2300400;13;7;175;8
2304000;13;7;89;9
2307600;11;7;33;9
2311200;9;6;3;9
2314800;8.4;5.3;0;9
2318400;9;5;0;7
2322000;7;4;0;6
2325600;7;4;0;5
2329200;5;4;0;6
2332800;5;3;0;7
2336400;6;4;0;9
2340000;5.5;4;0;9
2343600;5;4;0;9
2347200;5;4;0;9
2350800;6;5;0;9
2354400;5;4;0;9
2358000;5;4;0;9
2361600;6;5;0;9
2365200;6;5;7;9
2368800;7;6;49;9
2372400;8;8;120;8
2376000;10;9;190;8
2379600;10.8;8.8;238;7
2383200;11;8;214;8
2386800;11;8;160;8
2390400;11;8;91;9
2394000;10;8;35;9
2397600;10;8;3;9
2401200;10;7;0;9
2404800;9;7;0;9
2408400;8;7;0;9
2412000;8;7;0;9
2415600;8;7;0;9
2419200;8;7;0;9
2422800;8;7;0;9
2426400;7;6;0;8
2430000;5;4;0;8
2433600;5;5;0;7
2437200;6;6;0;8
2440800;6;6;0;8
2444400;7;6;0;9
2448000;7;6;0;9
2451600;7.5;6;5;10
2455200;8;6;26;10
2458800;8;7;56;10
2462400;8;7;80;10
2466000;9;7;92;10
2469600;9;7;120;10
2473200;10;8;122;9
2476800;10.2;7.8;93;9
2480400;10;8;36;9
2484000;9;8;3;9
2487600;9;8;0;9
2491200;8;8;0;9
2494800;8;7;0;9
2498400;8;7;0;9
2502000;8;7;0;9
2505600;8;7;0;9
2509200;8;7;0;9
2512800;8;7;0;9
2516400;7;7;0;9
2520000;8;6;0;9
2523600;8;6;0;9
2527200;8;5;0;10
2530800;8;6;0;10
2534400;8;6;0;10
2538000;8;6;4;10
2541600;9;6;27;10
2545200;11;6;76;10
2548800;11;6;133;9
2552400;8;6;179;9
2556000;10;7;175;9
2559600;10;6;146;9
2563200;10.2;6.2;96;9
2566800;9;6;38;9
2570400;9;4;4;9
2574000;8;5;0;9
2577600;6;4;0;8
2581200;6;2;0;8
2584800;3;1;0;7
2588400;4;-1;0;7
2592000;2;-1;0;7
2595600;2;0;0;6
2599200;1;0;0;5
2602800;2;-1;0;4
2606400;1;-2;0;2
2610000;2;-2;0;3
2613600;2;-2;0;4
2617200;2;-2;0;5
2620800;1;-2;0;6
2624400;2;-2;13;7
2628000;3;0;74;7
2631600;5;0;167;7
2635200;5;0;250;7
2638800;5.6;-0.1;303;6
2642400;6;-2;266;7
2646000;6;-2;189;8
2649600;6;-2;99;9
2653200;6;-2;34;9
2656800;6;-1;3;10
2660400;5.4;0.1;0;10
2664000;5.5;0.3;0;10
2667600;5.7;0.6;0;10
2671200;5.9;1.1;0;10
2674800;6;1.7;0;10
2678400;6;2.4;0;9
2682000;5.7;3.1;0;6
2685600;5.3;3.5;0;6
2689200;4.8;3.6;0;6
2692800;4.2;3.6;0;1
2696400;3.8;3.5;0;4
2700000;3.4;3.4;0;1
2703600;2;2;0;1
2707200;2;2;0;6
2710800;4;3;5;10
2714400;6;6;63;9
2718000;7;7;124;9
2721600;9;7;89;10
2725200;10;7;102;10
2728800;11;5;100;10
2732400;13;5;268;6
2736000;11;5;58;10
2739600;11;6;48;9
2743200;10;6;6;9
2746800;8;6;0;9
2750400;8;6;0;9
2754000;8;6;0;7
2757600;7.8;5.3;0;9
2761200;8;6;0;9
2764800;8;6;0;9
2768400;7.3;5.4;0;9
2772000;7;6;0;9
2775600;7;6;0;10
2779200;7.2;5.2;0;10
2782800;7;5;0;10
2786400;7;5;0;9
2790000;6.7;5.1;0;9
2793600;6;5;0;9
2797200;7;5;11;9
2800800;7;6;65;9
2804400;11;8;126;9
2808000;12;7;173;9
2811600;11.8;7.3;196;9
2815200;12;8;219;8
2818800;12;8;206;8
2822400;12.1;7.9;154;7
2826000;12;8;73;7
2829600;10;8;9;7
2833200;9.2;7.1;0;6
2836800;9;7;0;7
2840400;8;7;0;10
2844000;8;7;0;9
2847600;9;7;0;9
2851200;9;8;0;9
2854800;9;7;0;9
2858400;9;7;0;9
2862000;9;7;0;9
2865600;8;7;0;9
2869200;8;7;0;9
2872800;8;7;0;9
2876400;7.5;5.6;0;9
2880000;7;6;0;10
2883600;7;7;16;7
2887200;8;7;66;9
2890800;9;7;176;7
2894400;11;8;241;7
2898000;11;8;395;4
2901600;12;7;410;1
2905200;12;6;349;1
2908800;12;6;241;1
2912400;11;6;96;5
2916000;10;5;11;6
2919600;9;6.4;0;6
2923200;8;3;0;8
2926800;7;3;0;9
2930400;6;3;0;8
2934000;5;2;0;8
2937600;3;1;0;8
2941200;3;1;0;7
2944800;3;1;0;7
2948400;2;0;0;8
2952000;1;0;0;8
2955600;1;-1;0;9
2959200;1;1;0;9
2962800;1;1;0;10
2966400;1;1;0;10
2970000;1;0;6;10
2973600;1;1;36;10
2977200;2;1;69;10
2980800;3;2;246;7
2984400;5;2;425;1
2988000;7;3;419;0
2991600;8;3;356;1
2995200;7;6.6;246;1
2998800;6;3;113;1
3002400;5;3;14;4
3006000;4;2;0;4
3009600;4;2;0;5
3013200;2;1;0;5
3016800;2;1;0;4
3020400;4;2;0;4
3024000;6;3;0;4
3027600;8;5;0;1
3031200;8;4;0;2
3034800;8;4;0;2
3038400;8;4;0;3
3042000;8;4;0;4
3045600;8;4;0;4
3049200;8.4;4;0;5
3052800;9;4;0;5
3056400;9;3;23;5
3060000;10;4;132;5
3063600;11;5;249;5
3067200;11;6;358;4
3070800;11;6;428;1
3074400;11;6;421;1
3078000;12;6;349;3
3081600;12;6;232;4
3085200;11;6;105;5
3088800;10;6;12;6
3092400;8.3;5.1;0;2
3096000;7;4;0;3
3099600;6;3;0;4
3103200;7;5;0;5
3106800;7;5;0;6
3110400;6;4;0;7
3114000;5.2;3.6;0;7
3117600;5;4;0;8
3121200;5;4;0;8
3124800;4.9;3.5;0;9
3128400;5;4;0;8
3132000;4;3;0;7
3135600;5;4;0;6
3139200;3;2;0;5
3142800;4;3;25;5
3146400;6.6;5.3;143;4
3150000;9;6;273;3
3153600;11;6;374;3
3157200;12.9;7.1;426;2
3160800;12;7;397;4
3164400;13;7;302;6
3168000;13.3;6.9;168;7
3171600;12;7;79;7
3175200;12;7;11;7
3178800;9.5;6.2;0;7
3182400;9;6;0;7
3186000;9;6;0;7
3189600;7.3;5.4;0;7
3193200;6;4;0;6
3196800;5;4;0;4
3200400;5.4;4.8;0;2
3204000;4;3;0;2
3207600;3;2;0;2
3211200;3.6;2.7;0;1
3214800;2;1;0;3
3218400;2;1;0;5
3222000;2.8;2.1;0;6
3225600;3;3;0;7
3229200;3.6;3.4;14;9
3232800;4.2;4;39;10
3236400;4;4;72;10
3240000;4;4;98;10
3243600;4.6;4.5;110;10
3247200;5;5;177;9
3250800;6;5;202;8
3254400;6;4.5;172;7
3258000;6;5;75;8
3261600;5;4;10;8
3265200;4.2;3.5;0;9
3268800;5;4;0;9
3272400;4;4;0;10
3276000;4.2;3.8;0;10
3279600;4;3;0;10
3283200;4;4;0;10
3286800;4.2;3.8;0;10
3290400;5;4;0;10
3294000;5;4;0;10
3297600;4.4;3.8;0;10
3301200;6;5;0;10
3304800;8;6;0;10
3308400;8;5;0;10
3312000;8;5;0;10
3315600;9;6;8;10
3319200;9;6.1;40;10
3322800;11;6;73;10
3326400;10;6;99;10
3330000;9.9;7.2;111;10
3333600;10;8;110;10
3337200;10;8;94;10
3340800;10;7.6;67;10
3344400;10;8;32;10
3348000;10;7;5;10
3351600;9.8;7.4;0;10
3355200;9;7;0;8
3358800;9;7;0;7
3362400;9;6.8;0;5
3366000;8;6;0;6
3369600;7;5;0;7
3373200;9.1;6.1;0;7
3376800;10;6;0;8
3380400;10;6;0;8
3384000;10;6.4;0;9
3387600;10;7;0;9
3391200;10;7;0;10
3394800;9.2;7.3;0;10
3398400;9;8;0;10
3402000;9;8;8;10
3405600;9.7;8.1;41;10
3409200;10;8;74;10
3412800;10;8;100;10
3416400;9.6;8.3;112;10
3420000;10;8;147;10
3423600;10;9;155;9
3427200;10.7;8.9;129;9
3430800;11;9;105;6
3434400;9;8;19;4
3438000;7.8;6.8;0;1
3441600;6;5;0;2
3445200;5;4;0;2
3448800;4.4;3.4;0;2
3452400;4;3;0;5
3456000;5;4;0;7
3459600;3.6;3.2;0;9
3463200;4;4;0;9
3466800;4;3;0;9
3470400;4.1;3.6;0;9
3474000;5;4;0;9
3477600;4;3;0;9
3481200;3.9;3;0;9
3484800;4;3;0;9
3488400;4;3;17;9
3492000;4.1;3.3;80;9
3495600;4;3;146;9
3499200;5;4;194;9
3502800;6;4.7;219;9
3506400;7;4;245;8
3510000;7;5;234;8
3513600;7;5;182;7
3517200;7;5;83;8
3520800;7;5;12;8
3524400;6;3.9;0;9
3528000;6;4;0;9
3531600;5;4;0;10
3535200;4.6;3.5;0;10
3538800;4;3;0;10
3542400;4;3;0;9
3546000;3.5;2.8;0;9
3549600;3;2;0;9
3553200;2;1;0;10
3556800;1.2;0.1;0;10
3560400;1;0;0;10
3564000;1;-1;0;10
3567600;0;-1;0;10
3571200;0;-1;0;10
3574800;-1;-2;10;10
3578400;-0.7;-2;44;10
3582000;0;-2;78;10
3585600;0;-2;104;10
3589200;0;-2;117;10
3592800;0;-2;116;10
3596400;0;-2;100;10
3600000;0.1;-1.8;72;10
3603600;0;-2;36;10
3607200;0;-2;6;10
3610800;-0.7;-2.1;0;10
3614400;-1;-2;0;10
3618000;-1;-2;0;10
3621600;-1;-2.4;0;10
3625200;-1;-3;0;10
3628800;-1.1;-2.8;0;10
3632400;-1.2;-3;0;10
3636000;-1;-3;0;10
3639600;-1;-3;0;10
3643200;-1.3;-3.2;0;10
3646800;-1;-3;0;10
3650400;-2;-3;0;10
3654000;-1.2;-3;0;10
3657600;-1;-3;0;9
3661200;-1;-3;23;8
3664800;-1.3;-3.3;117;7
3668400;-1;-3;263;6
3672000;1;-3;393;4
3675600;1.9;-2.5;467;2
3679200;3;-2;426;5
3682800;3.2;-2.6;304;7
3686400;3.5;-2.1;139;9
3690000;3.2;-2.4;71;9
3693600;2.8;-2.4;12;9
3697200;2.5;-2.1;0;9
3700800;2.2;-1.9;0;9
3704400;1.8;-1.4;0;9
3708000;1.5;-0.8;0;9
3711600;1.8;-0.3;0;9
3715200;2;0.3;0;9
3718800;2.3;0.9;0;9
3722400;2.6;1.3;0;9
3726000;2.9;1.6;0;10
3729600;3.2;2;0;10
3733200;3.9;2.6;0;10
3736800;4.5;3.2;0;10
3740400;5.2;3.8;0;10
3744000;5.2;3.9;0;10
3747600;5.3;3.9;11;10
3751200;5.3;4;45;10
3754800;6;4;106;10
3758400;6;3.3;173;9
3762000;6;3;228;9
3765600;6;2;225;9
3769200;5;3;195;9
3772800;6;3.6;141;9
3776400;6;3;73;9
3780000;6;3;12;9
3783600;5.1;3;0;9
3787200;5;3;0;9
3790800;5;3;0;10
3794400;5;3;0;10
3798000;6;3;0;10
3801600;7;4;0;9
3805200;7.3;1.9;0;9
3808800;5;2;0;9
3812400;5;2;0;9
3816000;4;1.9;0;9
3819600;4;2;0;9
3823200;4;2;0;10
3826800;4.8;2.7;0;10
3830400;4;3;0;10
3834000;6;3;19;9
3837600;5.8;4;89;9
3841200;8;5;156;9
3844800;9;5;205;9
3848400;10.2;4.7;230;9
3852000;11;3;228;9
3855600;10;4;197;9
3859200;10;3;144;9
3862800;10;2;75;9
3866400;9;3;13;9
3870000;9;2.6;0;9
3873600;8;4;0;9
3877200;7;5;0;10
3880800;6.5;4.8;0;10
3884400;7;5;0;10
3888000;8;4;0;9
3891600;8.1;3.3;0;9
3895200;8;3;0;9
