time,CI4,CE2,CJ1,CL1,CI3
1/1/2025 11:10,19.23376623,18.86689587,18.92399792,19.02048417,18.08700502
1/1/2025 11:20,19.23376623,18.89194499,18.85372202,19.02048417,18.08700502
1/1/2025 11:30,19.16071429,19.07465619,18.82717335,19.02048417,18.08700502
1/1/2025 11:40,19.16071429,19.1910609,18.78344612,19.02048417,17.98326827
1/1/2025 11:50,19.33441558,19.42387033,18.88027069,18.91014898,17.98326827
1/1/2025 12:00,19.33441558,19.42387033,18.88027069,18.91014898,18.11544897
1/1/2025 12:10,19.36201299,19.1910609,18.90681936,18.91014898,18.32292248
1/1/2025 12:20,19.36201299,19.33251473,19.05674128,18.8235568,18.63413274
1/1/2025 12:30,19.59090909,19.12475442,19.05674128,18.84729981,18.73786949
1/1/2025 12:40,19.49025974,19.00834971,18.7397189,18.52467412,18.63413274
1/1/2025 12:50,19.59090909,19.12475442,18.83654347,18.63500931,18.66257669
1/1/2025 13:00,19.66396104,19.03339882,18.83654347,18.52467412,18.50195204
1/1/2025 13:10,19.66396104,18.94204322,18.76626757,18.43808194,18.57724484
1/1/2025 13:20,19.51785714,19.12475442,18.76626757,18.52467412,18.57724484
1/1/2025 13:30,19.44480519,19.12475442,18.7397189,18.57216015,18.31288344
1/1/2025 13:40,19.2711039,19.1910609,18.64289433,18.50931099,18.44506414
1/1/2025 13:50,19.2711039,19.1910609,18.71317022,18.50931099,18.54880089
1/1/2025 14:00,19.31655844,19.2824165,18.80999479,18.75372439,18.54880089
1/1/2025 14:10,19.34415584,19.4651277,18.97709526,18.84031657,18.44506414
1/1/2025 14:20,19.31655844,19.3737721,18.97709526,18.68249534,18.23759063
1/1/2025 14:30,19.31655844,19.07465619,18.95054659,18.68249534,17.95482432
1/1/2025 14:40,19.38961039,19.04960707,18.66007288,18.70623836,17.95482432
1/1/2025 14:50,19.38961039,19.04960707,18.66007288,18.70623836,17.95482432
1/1/2025 15:00,19.21590909,19.25736739,18.73034878,18.92690875,18.16229782
1/1/2025 15:10,19.24350649,19.25736739,18.82717335,18.92690875,18.29447853
1/1/2025 15:20,19.44480519,19.49017682,18.92399792,18.95065177,18.55883993
1/1/2025 15:30,19.2711039,19.49017682,19.02082249,19.16294227,18.79475739
1/1/2025 15:40,19.22564935,19.30746562,19.02082249,19.18668529,18.79475739
1/1/2025 15:50,19.2987013,19.54027505,19.11764706,19.47020484,18.79475739
1/1/2025 16:00,19.2987013,19.54027505,19.11764706,19.47020484,18.69102064
1/1/2025 16:10,19.22564935,19.63163065,19.11764706,19.47020484,18.69102064
1/1/2025 16:20,19.3262987,19.72298625,19.18792296,19.55679702,18.92693809
1/1/2025 16:30,19.3262987,19.65667976,19.3815721,19.55679702,18.92693809
1/1/2025 16:40,19.42694805,19.74803536,19.3815721,19.533054,18.92693809
1/1/2025 16:50,19.65584416,19.74803536,19.61894846,19.77746741,19.16285555
1/1/2025 17:00,19.7288961,19.88064833,19.61894846,19.77746741,19.16285555
1/1/2025 17:10,19.65584416,19.88064833,19.61894846,19.97439479,19.16285555
1/1/2025 17:20,19.9025974,19.88064833,19.78604893,20.14757914,19.03067485
1/1/2025 17:30,20.00324675,20.06335953,19.78604893,20.34450652,19.23814835
1/1/2025 17:40,20.00324675,20.06335953,19.68922436,20.34450652,19.34188511
1/1/2025 17:50,20.0762987,20.20481336,19.68922436,20.34450652,19.34188511
1/1/2025 18:00,20.17694805,20.20481336,19.52212389,20.40735568,19.34188511
1/1/2025 18:10,20.25,20.29616896,19.61894846,20.40735568,19.34188511
1/1/2025 18:20,20.32305195,20.29616896,19.61894846,20.49394786,19.34188511
1/1/2025 18:30,20.32305195,20.29616896,19.57522124,20.49394786,19.47406581
1/1/2025 18:40,20.2224026,20.29616896,19.71577303,20.40735568,19.47406581
1/1/2025 18:50,20.2224026,20.50392927,19.64549714,20.38361266,19.57780257
1/1/2025 19:00,20.2224026,20.41257367,19.64549714,20.44646182,19.65309537
1/1/2025 19:10,20.2224026,20.41257367,19.71577303,20.44646182,19.65309537
1/1/2025 19:20,20.2775974,20.41257367,19.68922436,20.35986965,19.65309537
1/1/2025 19:30,20.35064935,20.41257367,19.75950026,20.24953445,19.78527607
1/1/2025 19:40,20.35064935,20.32121807,19.75950026,20.24953445,19.78527607
1/1/2025 19:50,20.35064935,20.32121807,19.92660073,20.31238361,19.78527607
1/1/2025 20:00,20.35064935,20.32121807,20.0234253,20.31238361,19.78527607
1/1/2025 20:10,20.4237013,20.08840864,20.0234253,20.31238361,19.78527607
1/1/2025 20:20,20.4237013,20.02210216,20.12024987,20.24953445,19.78527607
1/1/2025 20:30,20.4237013,20.02210216,20.12024987,20.35986965,19.65309537
1/1/2025 20:40,20.4237013,20.11345776,20.12024987,20.35986965,19.65309537
1/1/2025 20:50,20.4237013,20.22986248,20.12024987,20.55679702,19.65309537
1/1/2025 21:00,20.32305195,20.29616896,20.12024987,20.61964618,19.65309537
1/1/2025 21:10,20.32305195,20.29616896,20.12024987,20.61964618,19.65309537
1/1/2025 21:20,20.25,20.29616896,20.04997397,20.533054,19.65309537
1/1/2025 21:30,20.25,20.38752456,20.04997397,20.533054,19.65309537
1/1/2025 21:40,20.17694805,20.20481336,19.9531494,20.44646182,19.72838818
1/1/2025 21:50,20.14935065,19.99705305,19.59239979,20.18668529,19.28499721
1/1/2025 22:00,20.0762987,19.99705305,19.59239979,20.18668529,19.28499721
1/1/2025 22:10,20.14935065,19.99705305,19.39875065,20.12383613,19.28499721
1/1/2025 22:20,20.0211039,19.88064833,19.39875065,19.95065177,19.28499721
1/1/2025 22:30,19.92045455,19.88064833,19.27537741,19.6433892,19.28499721
1/1/2025 22:40,19.6737013,19.62278978,19.08172827,19.38361266,19.04907975
1/1/2025 22:50,19.17045455,19.41502947,18.58042686,19.14757914,18.66257669
1/1/2025 23:00,19.17045455,19.41502947,18.60697553,18.95065177,18.39821528
1/1/2025 23:10,18.96915584,18.90815324,18.60697553,18.86405959,18.29447853
1/1/2025 23:20,18.81331169,18.70039293,18.41332639,18.91154562,18.29447853
1/1/2025 23:30,18.46590909,18.84184676,18.34305049,18.80121043,17.98326827
1/1/2025 23:40,18.29220779,18.51768173,18.2024987,18.49394786,18.01171221
1/1/2025 23:50,18.29220779,18.33497053,17.96512233,18.27327747,17.64361405
1/2/2025 0:00,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
1/2/2025 0:10,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
1/2/2025 0:20,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
1/2/2025 0:30,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
1/2/2025 0:40,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
1/2/2025 0:50,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
1/2/2025 1:00,17.74350649,17.50392927,17.50754815,17.68249534,16.93586168
