;CI4;CI4;CI4;CE2;CE2;CE2;CK3;CK3;CK3;CJ1;CJ1;CJ1;CL1;CL1;CL1;CI2;CI2;CI2;CI3;CI3;CI3;CK2;CK2;CK2;CK4;CK4;CK4;CI1;CI1;CI1;CK11;CK11;CK11;CJ4;CJ4;CJ4;CJ3;CJ3;CJ3;CL3;CL3;CL3;CL21;CL21;CL21
;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains
01/01/2025 01:30;7981.0;14.98;3498.4;7575.0;20.776;3379.8;11464.0;35.884;4776.0;7654.0;11.760000000000002;3616.200000000001;8105.0;15.82;3340.0000000000005;9795.0;126.812;5225.4000000000015;7372.0;36.736;4164.8;11802.0;41.496;5852.2;11137.0;50.06400000000001;5713.299999999999;10844.0;32.424;4830.400000000002;12749.0;30.548;5257.9;12163.0;25.956;6248.1;16514.0;60.648;6632.500000000001;18205.0;36.4;6412.600000000008;35576.0;73.584;14215.499999999993
01/01/2025 01:40;7936.0;0.0;3437.5999999999995;7575.0;32.536;4705.499999999999;11374.0;15.12;6570.699999999999;7654.0;10.64;4590.599999999999;8105.0;18.06;4993.599999999999;9795.0;134.32;6707.200000000001;7417.0;43.428;4358.0;11802.0;57.764;7145.099999999999;11092.0;39.928;6389.299999999999;10799.0;26.040000000000006;5966.900000000002;12704.0;20.104;6055.899999999998;12163.0;28.196;6845.4;16469.0;63.144000000000005;8556.6;18160.0;20.664;7044.600000000008;35576.0;67.536;14854.699999999988
01/01/2025 01:50;7936.0;0.0;4351.799999999998;7575.0;23.016;5303.2;11374.0;13.44;7300.399999999998;7654.0;13.636;5283.999999999998;8150.0;29.78;5051.999999999998;9705.0;122.196;7079.500000000002;7327.0;41.79600000000001;4542.4;11757.0;39.452;8351.899999999998;10957.0;22.372;6502.999999999999;10799.0;24.360000000000007;5975.6;12704.0;21.112;6990.299999999997;12118.0;24.416000000000004;6457.999999999999;16514.0;60.848;10571.6;18160.0;28.644;7234.200000000007;35486.0;55.132000000000005;14477.899999999989
01/01/2025 02:00;7936.0;0.0;4443.799999999999;7575.0;20.776;5047.299999999999;11374.0;19.656;6838.4;7654.0;18.368;6162.999999999999;8105.0;18.34;5369.4;9705.0;119.704;6710.200000000001;7327.0;36.532;4818.699999999999;12095.0;53.508;6852.3;10957.0;22.792;8100.5999999999985;10754.0;20.3;6350.800000000001;12659.0;22.232;7238.700000000001;12118.0;26.936000000000003;7606.499999999998;16514.0;48.83599999999999;9598.8;18160.0;29.932;6918.200000000008;35610.0;55.27199999999999;13972.299999999994
01/01/2025 02:10;8060.0;0.0;4947.800000000001;7575.0;27.496;4367.9;11374.0;19.656;7321.599999999999;7654.0;18.508;5953.799999999999;8105.0;17.22;3876.600000000001;9705.0;125.164;5577.9000000000015;7327.0;30.772;3531.5;12005.0;39.872;5639.3;10957.0;17.108;6934.599999999998;10754.0;22.428;6167.900000000001;12659.0;24.472;6217.000000000001;12118.0;28.616000000000007;7227.7;16514.0;64.572;8296.300000000001;18205.0;37.548;6602.200000000008;35610.0;60.956;13926.7
01/01/2025 02:20;8105.0;1.6799999999999995;4162.400000000001;7406.0;16.8;6398.900000000001;11329.0;8.176;7782.599999999998;7654.0;19.068;6322.199999999999;8229.0;12.04;4621.200000000001;9829.0;146.75199999999998;5795.000000000002;7282.0;16.576;3475.9;11960.0;30.156;5692.799999999999;10957.0;18.004;6386.199999999998;10754.0;11.648;5472.200000000002;12659.0;18.452;6265.599999999999;12118.0;35.056;6479.400000000001;16469.0;46.592000000000006;8321.0;18250.0;38.108;7297.400000000007;35565.0;44.66;13836.299999999992
01/01/2025 02:30;8060.0;0.0;3498.2;7406.0;14.0;4117.099999999999;11329.0;8.176;6712.0;7654.0;20.888;6110.0;8353.0;10.36;5211.000000000001;9829.0;149.52400000000003;5707.100000000001;7282.0;16.352;4745.7;11915.0;23.016;6470.999999999999;10957.0;23.184;5942.999999999999;10664.0;0.0;5279.800000000001;12704.0;23.268;6454.999999999999;12118.0;32.76;6973.999999999999;16469.0;63.564;9289.4;18205.0;27.608;6728.600000000005;35475.0;38.304;13987.499999999993
01/01/2025 02:40;8060.0;0.0;3227.8;7406.0;12.32;4605.899999999999;11453.0;5.376;5957.6;7654.0;18.368;6025.199999999999;8353.0;7.420000000000001;4797.4;9998.0;122.028;7930.1;7282.0;14.896;4936.8;11960.0;33.236000000000004;7366.699999999999;11002.0;26.404;5705.9;10664.0;0.0;4839.0;12659.0;36.848;5712.599999999998;12118.0;23.8;7247.0;16559.0;75.83200000000001;8039.699999999999;18250.0;52.348000000000006;6728.600000000007;35475.0;38.724;14538.699999999992
01/01/2025 02:50;8060.0;0.0;4075.000000000001;7406.0;8.96;4706.099999999999;11498.0;11.536;5799.1;7654.0;21.98;5820.799999999999;8353.0;7.7;3905.000000000001;10043.0;110.884;5191.000000000001;7282.0;22.176;4209.799999999999;11960.0;40.628;5162.8;11092.0;37.352;5205.0;10664.0;0.0;5512.600000000001;12614.0;27.888;5404.499999999999;12118.0;27.636000000000003;7039.999999999998;16469.0;46.876;8580.099999999999;18250.0;53.34;6728.600000000009;35430.0;15.82;13969.899999999994
01/01/2025 03:00;8060.0;0.0;3753.6;7406.0;13.776;4087.1;11498.0;9.156;5681.499999999998;7654.0;16.604;4068.2000000000007;8353.0;9.38;3370.2000000000003;9908.0;83.524;5847.600000000001;7327.0;25.284;3094.6;11915.0;17.528;5540.4;11092.0;41.496;5343.900000000001;10664.0;0.0;5566.600000000002;12569.0;4.143999999999999;5439.099999999999;12163.0;26.936000000000003;6194.599999999999;16379.0;37.44;7978.899999999999;18543.0;59.436;6760.300000000007;35430.0;21.588;14477.899999999998
