date	heat_pump_0__heat_prod	HL_Python	heat_pump_1__heat_prod	HL_Cambridge_1	heat_pump_2__heat_prod	HL_DLFK	heat_pump_3__heat_prod	HL_SDF	heat_pump_4__heat_prod	HL_DKFJ	heat_pump_5__heat_prod	HL_FKSJOFE	heat_pump_6__heat_prod	HL_EERKLS	heat_pump_7__heat_prod	HL_FJKXD	heat_pump_8__heat_prod	HL_SDKFJ9	heat_pump_9__heat_prod	HL_SDFKJ	heat_pump_10__heat_prod	HL_ER	heat_pump_11__heat_prod	HL_ZF	heat_pump_12__heat_prod	HL_SFSLK	heat_pump_13__heat_prod	HL_FSSL	heat_pump_14__heat_prod	HL_DSFS	heat_pump_15__heat_prod	HL_CNIE
2018-01-01 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2018-01-01 00:10:00	227.3712005813713	227.3712005813713	119.12356514925266	119.12356514925266	198.9317148646134	198.9317148646134	103.76519645395801	103.76519645395801	187.69058732625194	187.69058732625194	155.7181132326997	155.7181132326997	180.19786061855973	180.19786061855973	138.08734485178536	138.08734485178536	202.58366352310037	202.58366352310037	148.08006118630598	148.08006118630598	199.03515608211606	199.03515608211606	144.08405670386844	144.08405670386844	195.4591259308969	195.4591259308969	140.0575968790456	140.0575968790456	191.85309475960761	191.85309475960761	112.5646899068307	112.5646899068307
2018-01-01 00:20:00	205.97924221036237	205.97924221036237	102.31523589189268	102.31523589189268	171.55041951607265	171.55041951607265	83.86121064117451	83.86121064117451	164.43759828076503	164.43759828076503	145.69850309308347	145.69850309308347	144.3504208919818	144.3504208919818	116.91437376574663	116.91437376574663	185.62168774314654	185.62168774314654	138.77684158260618	138.77684158260618	182.6486219891895	182.6486219891895	135.22887495204571	135.22887495204571	179.63980384247074	179.63980384247074	131.6360432478611	131.6360432478611	176.59404925238752	176.59404925238752	106.76743569806007	106.76743569806007
2018-01-01 00:30:00	187.1161473331896	187.1161473331896	88.01869276131856	88.01869276131856	148.21455487002294	148.21455487002294	67.85097116253654	67.85097116253654	144.3911229216531	144.3911229216531	136.70369100113933	136.70369100113933	116.1093740642646	116.1093740642646	100.00697352859316	100.00697352859316	170.53864002444624	170.53864002444624	130.71138307201232	130.71138307201232	168.0880510500407	168.0880510500407	127.60299847989297	127.60299847989297	165.59765657824644	165.59765657824644	124.44192598020008	124.44192598020008	163.06565244131428	163.06565244131428	102.18498774268228	102.18498774268228
2018-01-01 00:40:00	170.05376795181647	170.05376795181647	75.83847086106944	75.83847086106944	128.21771449674662	128.21771449674662	55.13455495806521	55.13455495806521	126.91145326280562	126.91145326280562	128.28734572680415	128.28734572680415	93.64421449147713	93.64421449147713	85.73968394796648	85.73968394796648	156.730171046968	156.730171046968	123.13895235910661	123.13895235910661	154.73547616024115	154.73547616024115	120.42986739916408	120.42986739916408	152.69870723555982	152.69870723555982	117.66211493809607	117.66211493809607	150.61744934251286	150.61744934251286	97.81003172595561	97.81003172595561
2018-01-01 00:50:00	154.6207364838468	154.6207364838468	65.46130100706432	65.46130100706432	111.08221191766916	111.08221191766916	45.0343237290824	45.0343237290824	111.67011021436986	111.67011021436986	120.41272744674404	120.41272744674404	75.77384196250773	75.77384196250773	73.70288313855835	73.70288313855835	144.0890599134166	144.0890599134166	116.0308090053687	116.0308090053687	142.49121376245188	142.49121376245188	113.68417677163382	113.68417677163382	140.85047951647988	140.85047951647988	111.27453792341447	111.27453792341447	139.16384607186416	139.16384607186416	93.63673788522586	93.63673788522586
2018-01-01 01:00:00	140.661459997504	140.661459997504	56.620275356909616	56.620275356909616	96.39861969440604	96.39861969440604	37.01204219676233	37.01204219676233	98.38046885706979	98.38046885706979	113.04496672837985	113.04496672837985	61.55848698134843	61.55848698134843	63.54785718042159	63.54785718042159	132.51661846804217	132.51661846804217	109.35848311738252	109.35848311738252	131.26326919955346	131.26326919955346	107.34045205839197	107.34045205839197	129.9673830357749	129.9673830357749	105.2564983606016	105.2564983606016	128.6253741177925	128.6253741177925	89.65579668612271	89.65579668612271
2018-01-01 01:10:00	128.03520439668225	128.03520439668225	49.087996744692674	49.087996744692674	83.81609522024203	83.81609522024203	30.640207777850357	30.640207777850357	86.79260767960596	86.79260767960596	106.15143918630254	106.15143918630254	50.2505908023396	50.2505908023396	54.98041858046273	54.98041858046273	121.92250220855871	121.92250220855871	103.0952536788677	103.0952536788677	120.96728443529551	120.96728443529551	101.3747407029023	101.3747407029023	119.97080027214979	119.97080027214979	99.58661758706323	99.58661758706323	118.92891541498174	118.92891541498174	85.85834239545466	85.85834239545466
2018-01-01 01:20:00	116.61467478304037	116.61467478304037	42.67072986445598	42.67072986445598	73.0339977787103	73.0339977787103	25.579269228328982	25.579269228328982	76.68860840242384	76.68860840242384	99.70162033497363	99.70162033497363	41.25549246221901	41.25549246221901	47.7523716539875	47.7523716539875	112.22400428577879	112.22400428577879	97.21603799634046	97.21603799634046	111.52590345305123	111.52590345305123	95.7645174372452	95.7645174372452	110.78851771798881	110.78851771798881	94.24475373741903	94.24475373741903	110.00719395620781	110.00719395620781	82.23591785579572	82.23591785579572
2018-01-01 01:30:00	106.284732100145	106.284732100145	37.20341826695503	37.20341826695503	63.79470518067905	63.79470518067905	21.559532160772722	21.559532160772722	67.87845786387165	67.87845786387165	93.6669504274357	93.6669504274357	34.100156680251686	34.100156680251686	41.65432242237971	41.65432242237971	103.34540982312409	103.34540982312409	91.69729125697937	91.69729125697937	102.86819106391366	102.86819106391366	90.48859924157905	90.48859924157905	102.35420422325718	102.35420422325718	89.21193020410726	89.21193020410726	101.79830901918645	101.79830901918645	78.78045571165187	78.78045571165187
